"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys45","sys46","sys47","sys48","sys49","sys50","sys51","sys52","sys53","sys54","sys55","sys56","sys57","sys60","sys61","sys62","sys66","sys68","sys69","sys70","sys71","sys72","sys73","sys74","sys76","sys77","sys78","sys79","sys80","sys81","sys82","sys85","sys87","sys88"
0.09903954,0.11213182,0.09533754,0.10687277,0.1471944,0.09210435,0.1140478,0.08650822,0.07538691,0.13121726,0.08493593,0.13250482,0.09529611,0.13756201,0.11697017,0.09717884,0.09260259,0.10821418,0.09978502,0.08108137,0.06558731,0.06387339,0.05919875,0.16601593,0.16900792,0.17352965,0.09830324,0.00084566,0.13182357,0.13204579,0.12788213,0.11379005,0.11868685,0.0048472,0.09194342,0.10442868,0.10459801,0.07497592,0.0839477,0.14149114,0.12308726,0.07857734,0.12556981,0.12122576,0.13973787,0.17842961,0.05912664,0.13657135,0.11824328,0.1129991,0.09195162,0.09120516,0.0990173,0.0853888,0.0718558,0.08826858,0.10260369,0.15138246,0.15219772,0.14256301,0.10484494,0.14361172,0.13333837,0.14445265,0.09253188,0.1110267,0.04403531,0.12759947,0.06204134,0.07408067,0.06730447,0.07932429,0.08272524,0.08730661,0.11647829,0.12815872,0.11107106,0.16643477
0.09566389,0.10830777,0.09374038,0.10028646,0.13611763,0.09111399,0.11536924,0.08408501,0.08010231,0.12017332,0.08056521,0.12310875,0.08892148,0.12844103,0.10785942,0.09264451,0.08995804,0.10386354,0.09410481,0.07610381,0.06818814,0.06621441,0.06105426,0.15084159,0.15561408,0.15900464,0.09373976,0.00088322,0.12460109,0.12480784,0.11847372,0.10527131,0.10995954,0.00488497,0.08798964,0.09797539,0.10044443,0.07342769,0.08288886,0.13606628,0.11318745,0.07681102,0.11383271,0.11893696,0.13178801,0.17447747,0.0590886,0.12821244,0.11773709,0.11256015,0.08603972,0.08494697,0.08850749,0.07833676,0.06548772,0.08019135,0.09881216,0.14853714,0.14878179,0.13955664,0.09334687,0.13382597,0.12858667,0.1380931,0.08347906,0.1019594,0.04260555,0.11712138,0.05939089,0.06878923,0.06087991,0.07576069,0.07830884,0.08258174,0.11059883,0.12117378,0.10244044,0.16196678
0.10462998,0.11011466,0.09706312,0.1081119,0.1447646,0.09445766,0.11406136,0.0857139,0.07486458,0.12649592,0.0844221,0.12858668,0.09443185,0.13465433,0.1174332,0.09727577,0.09342218,0.11103465,0.10318266,0.08351711,0.06711819,0.06508988,0.06054584,0.15435927,0.15945581,0.16247656,0.09858636,0.00085946,0.13191574,0.13213768,0.13048467,0.10775456,0.11276703,0.00516825,0.09051471,0.10381735,0.10602063,0.07559782,0.08616406,0.14036855,0.12136005,0.07773181,0.12236358,0.12356143,0.13604664,0.18009823,0.05804794,0.13044075,0.11951991,0.11440047,0.08704972,0.08628477,0.09168588,0.08858265,0.07279873,0.08989338,0.10324462,0.15296188,0.15362062,0.14531898,0.10119878,0.14213351,0.13638174,0.14367232,0.08835149,0.10491009,0.04380036,0.11888473,0.0618657,0.07507644,0.0659167,0.08277659,0.08664664,0.08854974,0.11921618,0.12661736,0.10881365,0.17090709
0.09361746,0.10422676,0.08981112,0.0974028,0.13813739,0.09113389,0.11355112,0.08752705,0.07646183,0.12444815,0.08123388,0.12162601,0.08751448,0.13100283,0.10848958,0.08966174,0.08474178,0.10058193,0.09812079,0.08171418,0.06435932,0.06252805,0.05713404,0.15478002,0.15747946,0.16292249,0.09636312,0.00086749,0.12318913,0.12339069,0.11856302,0.10601457,0.10990914,0.00451707,0.08779305,0.09903345,0.09978387,0.07292003,0.08239311,0.13478214,0.11436044,0.07899526,0.11220401,0.11628481,0.1322842,0.17457226,0.05740028,0.12594117,0.11567073,0.11017195,0.08589445,0.08520201,0.0918416,0.0878924,0.07073956,0.0901766,0.09728129,0.15229214,0.15343766,0.14186994,0.09926958,0.13554502,0.12666835,0.13693881,0.08340676,0.10323686,0.04129903,0.11792686,0.05985468,0.06973914,0.06178051,0.07644075,0.08040853,0.08116111,0.11121604,0.12175994,0.10517932,0.15970623
0.10366836,0.11782025,0.10275411,0.11054434,0.139591,0.09534077,0.1216007,0.08516442,0.08301847,0.12937662,0.08560539,0.13312681,0.098706,0.1429263,0.11857512,0.10374714,0.09557207,0.10906616,0.10317257,0.0862472,0.0710237,0.06988416,0.0626422,0.16091631,0.16575554,0.16824839,0.10170425,0.00086383,0.13045043,0.13067055,0.12917893,0.11223303,0.11603398,0.00500781,0.09405581,0.10491419,0.10685655,0.07865711,0.0901629,0.13768187,0.1152274,0.07985773,0.11863245,0.13146378,0.13964933,0.17381853,0.06006351,0.13138502,0.12064402,0.11478659,0.09091711,0.09051481,0.09799448,0.09036423,0.06936785,0.09196005,0.11028614,0.15333139,0.15334819,0.14322703,0.10275467,0.1530817,0.13447474,0.14325345,0.08855196,0.109372,0.04657969,0.12476385,0.06542421,0.07790897,0.06712398,0.0853468,0.08905016,0.09148719,0.10300404,0.12257834,0.11035744,0.16372815
0.09971069,0.10794099,0.09397626,0.10518407,0.14506008,0.09490955,0.11024347,0.08362946,0.0726629,0.12343539,0.08101953,0.1240109,0.0964234,0.13197469,0.11065049,0.09775656,0.09109812,0.10526101,0.09816941,0.08173341,0.06758195,0.06574715,0.05861544,0.15717995,0.16224824,0.16550597,0.09308125,0.00087068,0.12818014,0.12839233,0.121831,0.11156857,0.11622068,0.00482242,0.09076414,0.10369858,0.10533836,0.07505798,0.08557315,0.14227829,0.11632116,0.07653627,0.11563525,0.12114511,0.13898512,0.17925719,0.05953561,0.13368779,0.1202439,0.11391283,0.09153953,0.09040946,0.09511463,0.08392987,0.07318992,0.08474211,0.10183552,0.15415203,0.15241649,0.14309749,0.10037506,0.13812333,0.13271114,0.14212134,0.08614139,0.10844914,0.04343036,0.12381165,0.06170211,0.07448333,0.06491629,0.07863504,0.08241302,0.08548297,0.10795611,0.1274246,0.10662662,0.16425262
0.09487158,0.11012072,0.09221449,0.10448952,0.14724023,0.08890755,0.11509898,0.08322113,0.07697062,0.12525586,0.08364176,0.12847624,0.09012889,0.13737309,0.11496421,0.09281868,0.08916949,0.10510727,0.09585834,0.07740741,0.06763392,0.06536538,0.05987863,0.15964535,0.16266791,0.16790199,0.09545865,0.00090086,0.13339316,0.13361881,0.1311352,0.10905661,0.11442175,0.00500494,0.08891087,0.09912597,0.10058417,0.07478753,0.08412372,0.1402171,0.11696438,0.0741205,0.1167019,0.12062994,0.13492926,0.17448132,0.06132225,0.13169111,0.12193262,0.11649197,0.08683041,0.08636838,0.09214387,0.08348038,0.06880553,0.08607572,0.10024515,0.14734081,0.14637089,0.13655651,0.09753708,0.14100854,0.13952284,0.14776089,0.09311738,0.10651728,0.0445168,0.12136443,0.05940834,0.07338928,0.0641151,0.0793704,0.08287395,0.08786611,0.11601314,0.13101724,0.11033404,0.16479756
0.09875237,0.10958009,0.09441757,0.10243069,0.13958093,0.0908897,0.11170894,0.08726824,0.07326144,0.12364306,0.08203039,0.12722739,0.09075239,0.13226444,0.11492981,0.09409904,0.08900549,0.10507491,0.09818842,0.08235694,0.06519305,0.06384154,0.05829146,0.15605962,0.15959484,0.16431871,0.09336333,0.00085639,0.12604585,0.1262533,0.12151047,0.10411119,0.10851838,0.0051221,0.09219964,0.10431601,0.10400903,0.07408023,0.08480612,0.13867665,0.1187462,0.07748836,0.117599,0.11965281,0.13472135,0.17801012,0.06346794,0.13192487,0.11615479,0.10988502,0.08314633,0.0825658,0.08746467,0.08729517,0.06919512,0.08855973,0.10130192,0.14861792,0.14781529,0.13804268,0.09623636,0.13896542,0.13002564,0.14020136,0.0856342,0.10133597,0.04427332,0.11560209,0.06040999,0.07247325,0.06303249,0.07443694,0.07785421,0.07969514,0.10913184,0.12478911,0.11036865,0.16038291
0.10138797,0.10913266,0.09206203,0.10339177,0.14002768,0.09618991,0.11536107,0.0877439,0.07197466,0.12697166,0.0846518,0.12903941,0.09348152,0.13577844,0.11137642,0.0965049,0.09113896,0.10620325,0.0991207,0.08046297,0.06641462,0.06463516,0.05992656,0.15758714,0.16283195,0.16539716,0.09545763,0.00091051,0.12943464,0.12964987,0.12242659,0.10524293,0.10963381,0.00483976,0.08802255,0.10127181,0.10284156,0.07155076,0.08095255,0.13688709,0.11854774,0.08188827,0.11823841,0.12248486,0.13346946,0.17488982,0.06056707,0.13029162,0.1176335,0.11167171,0.08652948,0.08568709,0.09330811,0.08533426,0.07560503,0.08671615,0.0993102,0.14926995,0.15146266,0.14304548,0.10340741,0.13992257,0.12990533,0.14029923,0.08304068,0.10196527,0.04244639,0.11669652,0.06286384,0.07229635,0.06408483,0.08115024,0.08521208,0.0862539,0.11425772,0.12568475,0.10964881,0.16703824
0.099307,0.10791293,0.09214493,0.10218374,0.14875251,0.09538304,0.10987768,0.08527522,0.06942244,0.12922816,0.08325017,0.13018192,0.09699708,0.13227616,0.10967487,0.10062777,0.09219821,0.10441433,0.10050682,0.08478492,0.06614228,0.06436533,0.0596947,0.15468744,0.15900789,0.16351143,0.09425092,0.00083258,0.12861445,0.12883375,0.12368665,0.10355581,0.10780035,0.00508314,0.08792976,0.10286731,0.09980907,0.07291454,0.08312427,0.14489919,0.1231335,0.07739185,0.1229389,0.12176172,0.1433715,0.18234209,0.05999219,0.14129181,0.1206641,0.11442668,0.08589127,0.08528595,0.09203175,0.08789347,0.07356496,0.08866972,0.09876436,0.15062924,0.14896346,0.13866707,0.10274066,0.14169411,0.13283928,0.14254263,0.08216698,0.10033782,0.04160101,0.11615712,0.06138088,0.07369895,0.06574612,0.07969388,0.08375407,0.08700254,0.11806247,0.12985368,0.10903278,0.16968815
