"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys27","sys28","sys30"
0.03661154,0.03354831,0.02642922,0.03166505,0.03181828,0.03052326,0.02566532,0.03014014,0.04229296,0.06238985,0.04107889,0.02489548,0.04482869,0.02862651,0.02597378,0.04115925,0.04870677,0.04578003,0.03944605,0.04705348,0.03944536,0.03161001,0.03197734,0.03862292,0.03506951,0.02886609,0.04515936,0.03953425
0.03979938,0.03302157,0.02785054,0.03333167,0.03101958,0.02857295,0.02622856,0.0287686,0.04324388,0.06011856,0.04054772,0.02415868,0.04487865,0.02469627,0.02179921,0.0421203,0.05029783,0.04405691,0.03629782,0.04777527,0.03962031,0.03015176,0.0315878,0.03848026,0.03485905,0.02916893,0.04766104,0.03806264
0.03865177,0.03266867,0.03049426,0.03625197,0.03014766,0.02753482,0.02321762,0.02741739,0.04306631,0.05947004,0.04066713,0.02576625,0.04627969,0.02582832,0.02321096,0.04250949,0.04983556,0.04750327,0.03628149,0.04952896,0.04103505,0.02934859,0.03028054,0.03738439,0.0336459,0.02877589,0.04634268,0.0388492
0.03479594,0.03024974,0.02593055,0.02949697,0.02847967,0.0296077,0.02564215,0.02987484,0.04038695,0.0573154,0.03782105,0.02398512,0.04631252,0.02703876,0.0244538,0.03910314,0.04494537,0.04498635,0.03587516,0.04355105,0.03632043,0.03051685,0.03055612,0.03620369,0.03386385,0.02575886,0.04247327,0.03602735
0.03855561,0.03185138,0.02944305,0.03549111,0.02916056,0.02681678,0.0238995,0.02653652,0.04088187,0.05945425,0.03821787,0.02327956,0.043636,0.02296476,0.02002437,0.0394517,0.04592686,0.04132049,0.03566063,0.04825031,0.03916969,0.03084344,0.0315907,0.04046624,0.03768137,0.02820964,0.04489059,0.03654483
0.03835709,0.03125092,0.02567084,0.03039968,0.02989898,0.02688709,0.02402601,0.02685444,0.04334427,0.05740875,0.04063956,0.02590525,0.04361746,0.02466803,0.02238293,0.04099276,0.04638453,0.04413137,0.03515352,0.04401391,0.03805944,0.03043117,0.0312826,0.03714699,0.03571448,0.02713556,0.04639914,0.03959005
0.03741315,0.03472516,0.02631184,0.03050734,0.03187203,0.03181683,0.02978432,0.03277464,0.04449018,0.06472863,0.04280631,0.02432182,0.04906406,0.02767553,0.02595139,0.04142671,0.04680013,0.04431358,0.03799991,0.04955714,0.04224679,0.0336478,0.03337804,0.03963864,0.03766547,0.03002363,0.04690879,0.04179753
0.0407904,0.03485514,0.0292222,0.03508258,0.03403129,0.02899307,0.0267805,0.02918469,0.0458794,0.06688124,0.04391667,0.02778374,0.04750868,0.02639732,0.0235694,0.04215381,0.0501659,0.04373016,0.04111472,0.05325562,0.04157692,0.03408711,0.03545649,0.0406309,0.03712277,0.03187409,0.04976834,0.04199183
0.03839733,0.03407216,0.02891288,0.0340694,0.0324619,0.02970281,0.02574719,0.02998853,0.04470062,0.06306777,0.04239492,0.02573674,0.04726214,0.02698462,0.02372024,0.04228845,0.04596948,0.04776946,0.03639948,0.04630831,0.03884676,0.03213027,0.03288767,0.03893924,0.03579076,0.02843049,0.04568217,0.04099555
0.03498091,0.03296903,0.02456698,0.02793539,0.03102144,0.0298073,0.02646983,0.0295369,0.04100315,0.0618853,0.04180942,0.02389879,0.04550727,0.02776368,0.02501341,0.0403202,0.04803041,0.04466127,0.03644739,0.04752913,0.04187534,0.03242134,0.03304488,0.03803445,0.03534553,0.02799717,0.04294492,0.03757392
0.03921138,0.03527361,0.0270026,0.03242053,0.03328125,0.03049623,0.02769315,0.03101509,0.04801851,0.06369724,0.04407062,0.02603579,0.04864706,0.02586469,0.02378011,0.04130362,0.04887217,0.04361874,0.03839274,0.05082127,0.04135577,0.03121813,0.03138042,0.03974337,0.03723138,0.03100933,0.04540937,0.04348322
0.03780538,0.03287083,0.02400357,0.02813418,0.03077028,0.02864973,0.02499246,0.02914841,0.04307171,0.06032913,0.04304745,0.02470401,0.0461872,0.02601824,0.02389774,0.04577365,0.05116417,0.05080924,0.03678857,0.04549107,0.03918132,0.03111213,0.0311851,0.03873835,0.0358582,0.02851683,0.04477826,0.03987037
0.03432606,0.03070977,0.0252505,0.03012679,0.02915883,0.0264698,0.02321689,0.02595635,0.04096202,0.05600144,0.03840421,0.0231089,0.0436776,0.02488636,0.02230989,0.03970568,0.0452177,0.04537745,0.03199322,0.04400891,0.03688312,0.02958404,0.0298197,0.03584668,0.03366979,0.02716563,0.0402727,0.038922
0.0355227,0.03194049,0.0256361,0.03033611,0.03072629,0.02824215,0.02517075,0.02804179,0.04244791,0.05862664,0.04026017,0.02472021,0.04750462,0.02718138,0.02551404,0.04054098,0.04644961,0.04364985,0.03612051,0.04399633,0.03705274,0.03010162,0.03016668,0.03628747,0.03201559,0.02717107,0.04278938,0.03944227
0.0384615,0.03384332,0.02670813,0.03144974,0.03258437,0.03097788,0.02657194,0.03093112,0.04368219,0.06234084,0.04301829,0.02655544,0.04794967,0.02730266,0.02448264,0.04485247,0.04911927,0.04851831,0.03809586,0.04859315,0.04112428,0.03323563,0.03375068,0.03882586,0.03537318,0.0280511,0.04655396,0.04031892
0.03903316,0.03215041,0.02875714,0.03379662,0.03026926,0.02832775,0.02597435,0.0283251,0.04367001,0.0593099,0.04029473,0.0258256,0.04672511,0.02576958,0.02256681,0.04256065,0.04794866,0.04549338,0.03757533,0.04622917,0.03897854,0.03022441,0.03115758,0.03849593,0.03482321,0.03037619,0.04703922,0.0401096
0.04013978,0.0343879,0.03229387,0.03791842,0.03270696,0.02892271,0.02635975,0.02909643,0.04446235,0.06417001,0.04133519,0.02606395,0.04883231,0.02729342,0.02499139,0.04195353,0.0479954,0.04555151,0.03737002,0.04988837,0.04150761,0.03363461,0.03415543,0.04016545,0.03782374,0.02877606,0.04771262,0.04093749
0.03847681,0.03382274,0.02839111,0.0342696,0.03264046,0.02899283,0.02731506,0.02931099,0.04048033,0.06254029,0.03928535,0.02478112,0.04356534,0.0258967,0.02327191,0.04081657,0.04738946,0.0447077,0.03577263,0.0481646,0.04149135,0.03320823,0.03372293,0.04012694,0.03638149,0.02661873,0.04393829,0.03645712
0.03736209,0.03308744,0.02864948,0.03289969,0.03061998,0.02892678,0.02634741,0.02944994,0.04244898,0.06028048,0.04069481,0.02438992,0.04443231,0.02689126,0.02434767,0.04014796,0.04645164,0.0424004,0.03589922,0.04877712,0.04168012,0.03101831,0.0319372,0.03937253,0.03577585,0.02768977,0.04574674,0.03956319
0.03729938,0.03150779,0.0297081,0.0348132,0.02999171,0.03019059,0.02680058,0.03010881,0.04389434,0.05738335,0.04060185,0.02594308,0.0475328,0.02586377,0.02347768,0.03945848,0.04603851,0.04370498,0.0352361,0.04574046,0.03850762,0.03135085,0.0320561,0.0373149,0.03405202,0.02788874,0.04466245,0.03955497
0.03715093,0.03212951,0.0313756,0.03673018,0.02952809,0.03091,0.02639559,0.03035613,0.0408819,0.05957611,0.03847717,0.02493792,0.04652403,0.02844702,0.02475382,0.04200736,0.05104378,0.04737645,0.03702278,0.05013796,0.04118088,0.03179356,0.03295853,0.03679248,0.0333235,0.02850008,0.04707084,0.03770817
0.03991347,0.03430239,0.03165803,0.03608081,0.03232413,0.02838769,0.02426507,0.02780514,0.04737177,0.0631744,0.04411743,0.02680335,0.04779782,0.02661063,0.02420793,0.04180571,0.04812944,0.04570336,0.03929396,0.04838154,0.0395342,0.02941808,0.02976933,0.03811873,0.03523242,0.0299215,0.04774919,0.04358308
0.03802684,0.03240813,0.0300776,0.03548088,0.03040863,0.02625452,0.02332839,0.02607861,0.041181,0.05954333,0.03970676,0.02398573,0.04160639,0.02605149,0.02240545,0.04214767,0.04648737,0.04539447,0.03591378,0.04528243,0.03738778,0.02952046,0.03044417,0.03776732,0.03637011,0.02653573,0.04390183,0.03770144
0.0378968,0.0327386,0.02892172,0.03389568,0.03079259,0.03086933,0.027908,0.03105548,0.04530774,0.06091871,0.04107843,0.02697877,0.04862956,0.02773791,0.02423524,0.04343322,0.04907919,0.04518518,0.03858893,0.04953739,0.04434488,0.03245851,0.03281454,0.03665788,0.03404119,0.02932411,0.04761687,0.03929723
0.03698843,0.03323909,0.02544025,0.03095524,0.03108158,0.02754353,0.02615773,0.02761472,0.04258729,0.05988617,0.04068552,0.02509863,0.0441736,0.02652019,0.02390265,0.04270469,0.04521683,0.04567445,0.03650383,0.047944,0.03971575,0.03350615,0.03378755,0.03691333,0.0357075,0.0276694,0.04539189,0.03938803
0.04063039,0.03489669,0.03053361,0.03598608,0.03194489,0.02934231,0.02678112,0.02986368,0.04492847,0.06204262,0.04190373,0.02616821,0.04837943,0.02772199,0.02527092,0.04361533,0.04732849,0.04543379,0.03651143,0.04728718,0.03910066,0.03155472,0.03244299,0.0373656,0.03570673,0.02875887,0.04731002,0.04001248
0.03666181,0.0319124,0.02763824,0.03289711,0.03023576,0.02639549,0.02479419,0.02699116,0.04114505,0.05804978,0.0389976,0.02428394,0.04433369,0.02517915,0.02240827,0.04009905,0.04889988,0.04401152,0.03531748,0.04426992,0.0371376,0.02980851,0.03083372,0.037599,0.0349756,0.02617097,0.0438039,0.03737267
0.0370664,0.03350118,0.0294649,0.03467285,0.03035417,0.02760987,0.02347354,0.02778852,0.04159507,0.06063016,0.03950533,0.02306747,0.04667785,0.02495565,0.02270821,0.04241707,0.04986882,0.04662261,0.035855,0.04604831,0.040572,0.03044584,0.03050763,0.0376014,0.03449745,0.02713947,0.04347904,0.0374359
0.03872784,0.03213458,0.02765308,0.03350164,0.03107198,0.02829473,0.02462292,0.02775257,0.04254054,0.06033588,0.03891121,0.02500909,0.04508304,0.02727113,0.02413473,0.04296163,0.04968966,0.04638451,0.03605121,0.04960171,0.03917902,0.03108008,0.03183242,0.0366765,0.03450758,0.02828318,0.04445069,0.03854794
0.03491095,0.03283394,0.0277121,0.03172397,0.03069064,0.02956898,0.02613574,0.02955512,0.04257163,0.06325265,0.04184188,0.02542354,0.04600644,0.02466258,0.02193824,0.04278297,0.04822973,0.04849091,0.03627656,0.04573079,0.03847425,0.03113932,0.03150006,0.03838306,0.03498186,0.02723894,0.04313459,0.03902396
0.03618944,0.0338577,0.02975614,0.0348187,0.03086406,0.02824812,0.02638727,0.02872118,0.04415658,0.06107697,0.04095873,0.02431283,0.0463243,0.02509031,0.02202063,0.0419662,0.04821623,0.0460527,0.03804522,0.04779273,0.04096028,0.03175665,0.03235032,0.03912818,0.0360755,0.02792571,0.04545574,0.03906666
0.03963508,0.03477835,0.02813313,0.03224938,0.0325389,0.02831321,0.02379685,0.02821137,0.04464106,0.06290175,0.04172997,0.02627596,0.04796936,0.02650115,0.02412525,0.0441075,0.05215854,0.04625882,0.03848711,0.05003804,0.04141851,0.03045462,0.03080461,0.04181928,0.03742323,0.02967894,0.04706799,0.03909208
0.03769852,0.03390149,0.02783382,0.03190415,0.0315686,0.02957407,0.02589103,0.02942624,0.04274577,0.06247469,0.04117223,0.02406229,0.04724993,0.02663351,0.02381993,0.04059579,0.04866401,0.04453239,0.0388962,0.04838714,0.04164423,0.03070732,0.03075605,0.0405291,0.03783269,0.02847889,0.04555603,0.03879107
0.0398018,0.03485016,0.02837276,0.03317263,0.03293756,0.03083112,0.02891169,0.03122398,0.04529713,0.06381631,0.04208556,0.02738018,0.04867075,0.0288461,0.02575231,0.04192551,0.04954303,0.04370555,0.03792176,0.05115954,0.04093444,0.03418327,0.03397875,0.04016283,0.0378814,0.02875334,0.04552851,0.04093249
0.0372403,0.03515287,0.02819843,0.03305762,0.03262757,0.02816167,0.02508986,0.0281063,0.04406824,0.06395853,0.04147444,0.0271293,0.04535203,0.02643163,0.02435338,0.04161283,0.04732939,0.04547828,0.03548762,0.04592764,0.03972111,0.0314696,0.03177056,0.04174354,0.03696665,0.02808782,0.04474728,0.03997891
0.03982071,0.035001,0.02955182,0.03506229,0.03266381,0.03159826,0.02788038,0.03170809,0.04655662,0.06417373,0.04376891,0.02732743,0.04969076,0.02907781,0.02601527,0.04317854,0.05224837,0.04889826,0.03920109,0.04927491,0.04132256,0.03326499,0.03399983,0.03901503,0.03568337,0.03070775,0.04851993,0.04245052
0.03532387,0.02882445,0.02549096,0.03098665,0.02663969,0.02563267,0.02339882,0.02540927,0.03746269,0.05322376,0.03305325,0.02111876,0.03989126,0.02424229,0.02198977,0.0396875,0.04447306,0.04217061,0.03202644,0.04364065,0.03842911,0.02798274,0.0293934,0.03645018,0.03253586,0.02594351,0.04132806,0.03513129
0.0400329,0.03758253,0.03254567,0.03771679,0.03529595,0.02896721,0.02638319,0.02873926,0.04795022,0.0669551,0.04434146,0.02845013,0.0483566,0.02736851,0.02410815,0.04436967,0.04936202,0.04494711,0.03860368,0.05308013,0.04342394,0.03296394,0.03380059,0.04082916,0.03735511,0.03100185,0.05213639,0.04349335
