"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys45","sys46","sys47","sys48"
0.18386555,0.15115244,0.17762965,0.2109528,0.50328789,0.54438835,0.32831276,0.32999475,0.48243285,0.45019265,0.42492834,0.42731279,0.42526106,0.46039575,0.41239494,0.37785621,0.4154475,0.59752147,0.45091403,0.34239277,0.3675908,0.60201352,0.52397321,0.66311004,0.52401608,0.52764842,0.53035168,0.52628197,0.39004262,0.42229203,0.44856377,0.44352071,0.42163585,0.41996129,0.38018142,0.60121749,0.58724761,0.3433238,0.32045966,0.35609766,0.49154009,0.70676442,0.64402873,0.53414753,0.53579277,0.52473232
0.19164926,0.14530376,0.18437376,0.22133331,0.49422528,0.54610537,0.34578321,0.33559487,0.48229682,0.45447175,0.42885249,0.42923387,0.4353137,0.46008499,0.40441672,0.36964895,0.418396,0.58814332,0.45505778,0.35353392,0.3693549,0.58574439,0.54805846,0.65454966,0.51845031,0.53226305,0.53676034,0.5359141,0.39819765,0.44130265,0.45409413,0.45409699,0.43210888,0.39922405,0.38353742,0.58658495,0.56951134,0.35949269,0.34698821,0.38230876,0.50555135,0.70111881,0.63823384,0.54074811,0.54304038,0.53215121
0.18649187,0.14764314,0.1817775,0.22030972,0.50705395,0.52784575,0.34047876,0.34076899,0.48368987,0.45948624,0.43267347,0.43919891,0.4388762,0.48478515,0.41056269,0.38571472,0.42111351,0.60390238,0.46539225,0.33999192,0.35855204,0.59312997,0.54619637,0.65894473,0.49980436,0.53013564,0.53270205,0.54091347,0.40629752,0.43662896,0.47239657,0.47039479,0.42794268,0.43194899,0.38817413,0.59834526,0.57514009,0.35002682,0.34165143,0.37714385,0.50853907,0.71841357,0.64320417,0.53045252,0.53381865,0.53231692
0.17053393,0.13987082,0.16869799,0.20222279,0.47382967,0.49938715,0.29927605,0.32182731,0.43290757,0.404881,0.38694064,0.41485055,0.41983974,0.46702217,0.40254602,0.36517442,0.41201184,0.568012,0.42132353,0.3344489,0.35668272,0.59351555,0.51249291,0.61998001,0.47695614,0.50412613,0.50243455,0.50009597,0.38465994,0.40593577,0.41272676,0.40524164,0.37508811,0.39536346,0.36055865,0.594641,0.58084097,0.34200921,0.32685438,0.34909464,0.49581407,0.67836491,0.6145751,0.49515594,0.49690931,0.49528248
0.19505915,0.1529961,0.18966837,0.21095545,0.4763687,0.52258781,0.31922533,0.31279527,0.46567116,0.44027869,0.41214005,0.40825216,0.41012417,0.45286203,0.399159,0.36610624,0.40676615,0.59312752,0.43957311,0.33965199,0.34839661,0.58193667,0.52334505,0.6356028,0.50555842,0.50535651,0.51901335,0.50500366,0.36720827,0.38399508,0.4385937,0.41753167,0.39747998,0.40335206,0.36594865,0.58186597,0.57560096,0.349794,0.33838285,0.35272415,0.50380271,0.67447244,0.61251813,0.51869364,0.52205054,0.4981013
0.18735136,0.14854931,0.17799718,0.22556911,0.51344857,0.5463344,0.33488532,0.34163399,0.47266211,0.45887656,0.43704146,0.42712138,0.43058025,0.46822992,0.41065185,0.38543305,0.42067381,0.60701205,0.45353935,0.3507929,0.37393252,0.59491269,0.54218348,0.65871087,0.51702273,0.52195448,0.52360047,0.51931593,0.42153833,0.44566526,0.46418458,0.45768441,0.43095153,0.43035476,0.38578781,0.60140111,0.59336574,0.3575153,0.34251953,0.36750057,0.51477901,0.68161141,0.63588734,0.51703564,0.52698327,0.52089085
0.18287815,0.14883354,0.18326243,0.2151629,0.50691056,0.55413645,0.32855783,0.33879629,0.48797792,0.455993,0.42946705,0.43071408,0.42902258,0.48542285,0.4181232,0.38347242,0.42056606,0.59452453,0.44368461,0.36282627,0.38014039,0.60284309,0.53249582,0.6648693,0.52801942,0.53664973,0.54527543,0.53655029,0.40469235,0.44727017,0.47558064,0.48018943,0.42042298,0.42380406,0.38149814,0.61167805,0.58912782,0.35362539,0.33626946,0.37944573,0.51011299,0.69410287,0.66009721,0.54637384,0.54461071,0.53974649
0.17369509,0.14392146,0.168376,0.20112548,0.46036859,0.51021205,0.32096595,0.33190287,0.4732358,0.43602759,0.41042872,0.42311609,0.426734,0.46616091,0.40401839,0.37448295,0.42020603,0.57601304,0.41677532,0.33710802,0.36346891,0.58805101,0.5177964,0.63953858,0.48821402,0.51300411,0.52469545,0.51123452,0.39008838,0.39957166,0.44121322,0.43990288,0.40430872,0.41128912,0.38844582,0.59746343,0.58849344,0.3395615,0.32694283,0.35127701,0.49542471,0.66477449,0.62429556,0.5195138,0.51612904,0.50041902
0.17567265,0.14643303,0.17358151,0.21351262,0.47867964,0.51153328,0.30931605,0.32620531,0.45573884,0.43584817,0.40325084,0.41660443,0.40975527,0.44672212,0.38483978,0.36224504,0.39002988,0.59508147,0.43620837,0.33285392,0.35480747,0.57339143,0.51361289,0.63127294,0.49893484,0.4898986,0.49773976,0.49079643,0.37960855,0.41060369,0.43101664,0.43394268,0.40045343,0.38712812,0.3717308,0.57032829,0.54959264,0.3249039,0.32203387,0.35122171,0.48578376,0.67644151,0.61109226,0.49929864,0.49935761,0.49295329
0.17774209,0.15502008,0.17099995,0.21180346,0.48444313,0.52032721,0.32360326,0.33701894,0.4600237,0.42265068,0.40365976,0.42223996,0.42278845,0.45394645,0.42081731,0.39808009,0.42747564,0.58220205,0.44787313,0.36890643,0.37881878,0.59213942,0.5211767,0.64648062,0.49568839,0.53078727,0.53015373,0.52459677,0.39369658,0.44075278,0.46172586,0.43934503,0.40606435,0.42173044,0.37733031,0.59669391,0.57425014,0.34018867,0.326244,0.36371977,0.48634705,0.68148157,0.62835944,0.5346415,0.52846822,0.51646515
