"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys46","sys48","sys49","sys50","sys51","sys52","sys53","sys54","sys55","sys56","sys57","sys58","sys59","sys62"
0.11769976,0.11271821,0.10805404,0.11652834,0.1183429,0.11731683,0.1263152,0.15199645,0.16363617,0.11812459,0.06769992,0.09517842,0.11977677,0.1413375,0.14380878,0.14669996,0.12308441,0.09446419,0.06465377,0.09278192,0.13337358,0.13708304,0.13902989,0.11800643,0.11699144,0.10756371,0.14942301,0.13798549,0.14943002,0.152552,0.1226875,0.13930166,0.14494657,0.14199381,0.14992504,0.14279108,0.13688272,0.14126999,0.1428712,0.1363053,0.14753194,0.14626682,0.17198961,0.07861774,0.14499064,0.13210326,0.11380398,0.1339997,0.11694562,0.12758522,0.12643947,0.14957669,0.14858829,0.12485045,0.13483573,0.14000064,0.14107009,0.12429696
0.11004375,0.10608314,0.10284435,0.10225559,0.10256223,0.10207858,0.1192556,0.14288527,0.15294989,0.11066728,0.0685657,0.09852551,0.11336776,0.13015815,0.13358661,0.13498618,0.11260354,0.08438734,0.06219805,0.08804617,0.12244368,0.13102219,0.13258076,0.10927833,0.10168054,0.09929404,0.14018107,0.13191006,0.14011061,0.14456516,0.11689878,0.13513425,0.14203745,0.135314,0.1425524,0.13701711,0.13112568,0.13730147,0.13761936,0.1338933,0.1382856,0.1374487,0.15473455,0.08023978,0.1357727,0.12542869,0.10725191,0.12363983,0.10668328,0.11876663,0.1188997,0.14089529,0.1411039,0.11864027,0.12876799,0.13606996,0.13408157,0.12268939
0.12377174,0.11587963,0.11473379,0.11646812,0.117079,0.11664338,0.13284852,0.16080009,0.17184247,0.1256086,0.07344944,0.10334987,0.12655276,0.14834272,0.15132904,0.15363265,0.12872569,0.09472359,0.06778195,0.09658545,0.13776677,0.14193969,0.14660511,0.12522713,0.11765534,0.11110488,0.15356482,0.14177792,0.15253109,0.15715977,0.13205966,0.15117597,0.15542719,0.15421612,0.16245861,0.15338736,0.14894169,0.15117845,0.15220924,0.14679835,0.15611313,0.15136944,0.1752425,0.08548977,0.15281836,0.13874559,0.12175033,0.14301845,0.11898194,0.13177732,0.13321305,0.15271439,0.15316054,0.13485692,0.14545264,0.14933273,0.15278192,0.13187011
0.11321503,0.10694162,0.10694524,0.11069358,0.11204156,0.11103999,0.12000739,0.15052136,0.1577534,0.11638776,0.06944597,0.09657873,0.11896563,0.1374472,0.14114559,0.14338668,0.11815398,0.08891591,0.0640512,0.09108569,0.1284239,0.13548588,0.13442263,0.1151139,0.10807288,0.10220068,0.14326108,0.1369226,0.14488602,0.14904901,0.11845139,0.13624581,0.14033731,0.1396435,0.14662517,0.14017409,0.13388848,0.13661569,0.13683611,0.13198514,0.1420598,0.14546378,0.16244335,0.07954901,0.14348461,0.12624556,0.10995018,0.12846775,0.11032653,0.12412309,0.1209365,0.14625327,0.14656372,0.11921947,0.13098959,0.13469777,0.13827154,0.12296287
0.11342929,0.10934877,0.10492974,0.10290241,0.10294577,0.10262594,0.11904488,0.1434617,0.15858548,0.10871465,0.06449652,0.09023986,0.11418966,0.13031381,0.13386581,0.13552888,0.11285335,0.08456914,0.06625225,0.09430001,0.12406852,0.13444785,0.1309798,0.11204728,0.10507079,0.09725458,0.13748409,0.12568345,0.14696187,0.1495652,0.11581397,0.13528245,0.14214742,0.1347836,0.14464459,0.13691276,0.13228438,0.13717812,0.14004738,0.13402832,0.13396592,0.13781698,0.15852836,0.076699,0.13762433,0.12303209,0.10481818,0.12571059,0.11492411,0.12898394,0.12730874,0.14522036,0.14490982,0.11823825,0.12859662,0.13706323,0.13394998,0.12217395
0.12116908,0.11513301,0.10996528,0.11148821,0.11200654,0.11065753,0.124046,0.15301925,0.16450805,0.12237963,0.06454368,0.09733079,0.12397313,0.14711461,0.14937358,0.15145459,0.1216234,0.0920372,0.06720558,0.09585801,0.13401843,0.14004686,0.13998316,0.12135402,0.11500412,0.10500482,0.14708019,0.13845258,0.15651737,0.1595771,0.12495682,0.14516809,0.15166252,0.1499107,0.15594147,0.15007386,0.14400477,0.14261048,0.14331427,0.13927832,0.14860052,0.14812115,0.16749673,0.07777467,0.15215618,0.13207603,0.11541973,0.13624977,0.11613926,0.12871439,0.12862722,0.15604944,0.15573625,0.12748732,0.14164496,0.14599189,0.14968419,0.133135
0.12152732,0.11545571,0.1105712,0.11926965,0.11965605,0.1191166,0.12671057,0.15450083,0.16372644,0.12199551,0.06800865,0.09793161,0.12424635,0.14356143,0.14567807,0.14773945,0.12027771,0.09990721,0.06720392,0.09463992,0.13687072,0.14017896,0.14324659,0.1244351,0.11458506,0.11027405,0.15216513,0.14675817,0.15418244,0.15703417,0.13005782,0.14974204,0.1537048,0.15192855,0.15700068,0.14950352,0.14423243,0.14571945,0.14585082,0.14219263,0.1520833,0.14910286,0.16874199,0.08026593,0.14683634,0.13731075,0.11808544,0.13830843,0.11814494,0.13241648,0.13255751,0.1543197,0.15388778,0.13089866,0.14615711,0.14721111,0.1508468,0.13169691
0.11245472,0.1057185,0.10511252,0.10870742,0.10893866,0.10827877,0.12263271,0.15102359,0.16243871,0.11917573,0.06878584,0.09781855,0.11880392,0.13880948,0.14145098,0.14317075,0.11307421,0.089175,0.06157668,0.08926093,0.12822149,0.13506416,0.13487997,0.11354883,0.10777706,0.10423383,0.14456252,0.13716994,0.14457132,0.14923596,0.11789641,0.14287623,0.14856223,0.14317026,0.14943318,0.1435986,0.13714916,0.13705288,0.13717033,0.13281172,0.14671158,0.1439639,0.1632737,0.07967443,0.14280959,0.12671029,0.11026744,0.13027716,0.11125098,0.12194032,0.11958946,0.14457727,0.14523607,0.12026482,0.13818836,0.14274668,0.14079938,0.12647929
0.11717234,0.1110064,0.10447604,0.11178044,0.11260428,0.11185826,0.12458943,0.15503181,0.16209996,0.11864618,0.06761266,0.0995828,0.12078615,0.14240221,0.14441587,0.14642126,0.11771002,0.09426927,0.06789225,0.09462238,0.12911543,0.1358692,0.13738488,0.11888079,0.11100292,0.1051349,0.14762988,0.1394386,0.14799354,0.15074758,0.12275379,0.14419989,0.14628511,0.1462917,0.15123991,0.14292211,0.1379007,0.14062932,0.14286461,0.13688998,0.14955991,0.14526062,0.16528664,0.08080836,0.1462106,0.12971839,0.11342489,0.12989894,0.11580672,0.12650804,0.12893429,0.1492245,0.1491094,0.12508169,0.13928562,0.14097026,0.1439895,0.12662405
0.12414939,0.11449145,0.11228266,0.11673034,0.11704554,0.11674686,0.13588186,0.15760602,0.16886427,0.1259034,0.07187433,0.10231131,0.12372948,0.14970104,0.15189239,0.1546978,0.12116135,0.10054091,0.06730783,0.0943895,0.13855922,0.14147727,0.14776346,0.12617518,0.11465293,0.11626979,0.15603988,0.14279144,0.14636763,0.15233018,0.12779771,0.14777215,0.15598219,0.15382331,0.16398795,0.15608528,0.14826921,0.14322218,0.14444242,0.13830217,0.15625655,0.15161383,0.1729181,0.0848782,0.15172375,0.14067216,0.12376825,0.14762889,0.11718006,0.12917995,0.12677473,0.14852787,0.14879915,0.13055179,0.14343463,0.14958216,0.1521011,0.13439759
