"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys45","sys46","sys47","sys48"
0.19994473,0.17559894,0.20539287,0.18557394,0.26393919,0.31084819,0.16218029,0.18192852,0.26319972,0.26562272,0.24361969,0.20355289,0.20232026,0.20364906,0.16474979,0.22634122,0.16685213,0.32457795,0.28843405,0.2520116,0.20650303,0.32516168,0.27662337,0.32182784,0.33975503,0.25185827,0.25371356,0.24851251,0.21601279,0.21922641,0.13924939,0.16646592,0.16800275,0.17139199,0.1868486,0.32958015,0.32373456,0.14673617,0.13743904,0.11548173,0.29426714,0.3503039,0.34512222,0.24876231,0.25281102,0.24339521
0.21097856,0.17960719,0.21883313,0.19223138,0.26724052,0.31556303,0.16662041,0.17382647,0.25670348,0.26314692,0.24195462,0.20467384,0.20370195,0.20276385,0.16823772,0.23017207,0.17157779,0.33118215,0.29304861,0.26048888,0.21521564,0.32822291,0.27675781,0.32486752,0.3285571,0.24782873,0.24763953,0.24709267,0.21047353,0.21459423,0.14740938,0.17924516,0.18077112,0.17415361,0.18151999,0.33183703,0.32759124,0.16225092,0.15102092,0.11903347,0.29541461,0.35213307,0.33147296,0.24505994,0.24590514,0.23313616
0.22480928,0.1892324,0.23086237,0.18233239,0.26020576,0.31131347,0.1643793,0.17380676,0.2418488,0.25804207,0.23290282,0.20451086,0.20301047,0.20345197,0.16630205,0.2255084,0.16837687,0.32049421,0.29488766,0.24691575,0.20158734,0.32262417,0.27937539,0.31955478,0.31466297,0.2360345,0.2363919,0.23468636,0.21162809,0.21947392,0.14778839,0.17694526,0.17475282,0.18306979,0.18742606,0.32565955,0.32199041,0.15945075,0.15038642,0.11556129,0.29919016,0.34089515,0.31542158,0.23241203,0.23488389,0.22380834
0.19071236,0.16457345,0.196427,0.17088842,0.25008854,0.30054937,0.14643749,0.16092204,0.22705321,0.24310706,0.22317382,0.20288832,0.20167898,0.20144557,0.16027544,0.21952185,0.16174333,0.30462692,0.2787264,0.2499235,0.20202541,0.30002167,0.26445194,0.30702392,0.31231656,0.23361056,0.23151419,0.23186411,0.19911054,0.19961501,0.13113447,0.15953759,0.15961692,0.16332924,0.18448035,0.30275707,0.29832317,0.14550172,0.1361898,0.10957128,0.27549218,0.33582784,0.31505644,0.2271767,0.23311759,0.22374822
0.2158023,0.18064451,0.22200565,0.18258574,0.25143674,0.30291908,0.15859883,0.17885163,0.24081465,0.25474453,0.239221,0.19199648,0.19149777,0.19273215,0.16063665,0.22681482,0.1621666,0.31432073,0.27942396,0.25159944,0.20013797,0.31689631,0.27711263,0.31122289,0.31881646,0.2282212,0.23176142,0.22674599,0.21676537,0.21662751,0.14113183,0.16482085,0.17466183,0.17065113,0.18901007,0.3232088,0.31597508,0.15333733,0.14356452,0.11555756,0.28840402,0.33659616,0.31672864,0.22602003,0.22848935,0.22297091
0.20772468,0.17780664,0.21372918,0.18478799,0.25569347,0.3062123,0.16445706,0.17887528,0.2403594,0.25103702,0.23755446,0.20113444,0.19947497,0.19766705,0.16368895,0.22542058,0.16483224,0.31899056,0.28527469,0.24924804,0.1963068,0.31474801,0.27390249,0.31656591,0.32747638,0.23815906,0.23793653,0.23440617,0.22438212,0.21560511,0.13934305,0.17309085,0.16831177,0.17098087,0.19577031,0.31989484,0.31427599,0.14856297,0.13870635,0.1141435,0.29767139,0.33843184,0.32609057,0.23615458,0.23785334,0.22525766
0.20271498,0.17059617,0.20820598,0.18477479,0.2709817,0.31477668,0.15182885,0.17500193,0.24825414,0.25969105,0.23896834,0.20290961,0.20147864,0.207577,0.16315364,0.22296907,0.16459951,0.33116847,0.29670896,0.25982812,0.21154545,0.3259805,0.27887435,0.32131807,0.33068216,0.24119972,0.24030336,0.2382612,0.22234614,0.21855749,0.14852331,0.18529771,0.17598208,0.17374348,0.20163643,0.32948136,0.324575,0.16208303,0.15014553,0.12246065,0.30846874,0.34673618,0.32891419,0.23510545,0.2383572,0.23059768
0.20638601,0.17030888,0.21227272,0.17065654,0.25338996,0.29910786,0.1631149,0.18007975,0.24734804,0.25135693,0.22600023,0.20596859,0.20400982,0.2028932,0.15912947,0.22078456,0.15914813,0.32480978,0.29062519,0.26123055,0.21705105,0.32648982,0.27530405,0.31447982,0.32871902,0.24905796,0.24798436,0.24634138,0.21892456,0.21611125,0.13858185,0.16869847,0.1672802,0.16761215,0.19692715,0.33138215,0.32579486,0.15038116,0.14192432,0.11389864,0.28151224,0.34092264,0.33135649,0.24306651,0.24707132,0.23767194
0.20913922,0.17168046,0.21304357,0.1858859,0.25416359,0.30817518,0.14822716,0.17677173,0.23844028,0.25279427,0.23148073,0.20102853,0.20009598,0.19893908,0.16313074,0.22281783,0.16449748,0.31844455,0.29210637,0.24792498,0.20056475,0.30920779,0.26582718,0.31715465,0.31862331,0.23466016,0.23261572,0.23182513,0.2063291,0.20933545,0.13849341,0.16672092,0.16562386,0.16542637,0.18208162,0.31446562,0.30925977,0.15441368,0.14527328,0.1170619,0.28568456,0.34706211,0.31715427,0.23033539,0.23426783,0.21649954
0.21723058,0.18138463,0.22135071,0.18276996,0.25026416,0.30901574,0.15598897,0.17578151,0.24100474,0.25348201,0.22579801,0.19878073,0.19816233,0.2001153,0.16278102,0.22427999,0.16303404,0.3134497,0.28808151,0.25928232,0.21031821,0.31153188,0.27201736,0.31946274,0.32163061,0.23201874,0.23112406,0.22900198,0.20797933,0.2119874,0.1430433,0.17368416,0.17653047,0.16919192,0.17942238,0.31630946,0.3102087,0.1539412,0.14312917,0.11554207,0.29540011,0.34307145,0.3279247,0.22843452,0.23171534,0.22272978
