"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34"
0.60725958,0.55297856,0.45122282,0.52310213,0.37883667,0.062423,0.47769358,0.49113633,0.47294987,0.56871749,0.38250555,0.41730056,0.56864037,0.51696592,0.60803263,0.53235082,0.44011634,0.54551964,0.54413923,0.70691793,0.4907751,0.52820998,0.57995603,0.54460046,0.62524401,0.57999243,0.48545503,0.58418935,0.46584702,0.431563,0.38682059,0.5428053,0.52686981,0.48499651
0.57339739,0.54919609,0.45003241,0.50672603,0.35688814,0.06824498,0.47501033,0.49818968,0.45950754,0.56186469,0.38945855,0.41956997,0.54093535,0.50501098,0.58496666,0.50797872,0.43134176,0.52723994,0.51593194,0.68528511,0.47469303,0.50740702,0.56656145,0.52384343,0.59551548,0.56406302,0.48096732,0.58717606,0.43123887,0.3954845,0.37518848,0.50542116,0.50151511,0.44862572
0.59914876,0.54406949,0.44837043,0.51904842,0.3540348,0.06081613,0.47111598,0.50259548,0.4448723,0.54715413,0.38132052,0.40926586,0.55076076,0.49926532,0.59282123,0.5195528,0.43090326,0.52110094,0.52595731,0.69061165,0.47636605,0.50983983,0.56463193,0.53545416,0.60460687,0.5636287,0.46982463,0.57547835,0.42468912,0.40969296,0.3641209,0.49976062,0.49357331,0.44455591
0.58042734,0.55104781,0.42954912,0.51177902,0.34084168,0.05593211,0.49061424,0.50768889,0.46329206,0.55552411,0.37498558,0.41123364,0.53638687,0.49585878,0.57200212,0.50684932,0.42742268,0.50562086,0.53539476,0.69264398,0.47761255,0.513086,0.5465284,0.52436764,0.59501022,0.55625193,0.45929683,0.56873816,0.40470655,0.39481351,0.34795864,0.51704637,0.5043988,0.46321172
0.57940643,0.55436327,0.42406494,0.50414596,0.35439503,0.06534577,0.48918264,0.50461522,0.47633244,0.57535794,0.37392514,0.40757911,0.55680721,0.51123328,0.60892993,0.50303671,0.421101,0.51766477,0.52023591,0.71964583,0.49280136,0.53591903,0.55861842,0.5306904,0.59976259,0.5629863,0.47120522,0.56861492,0.40707712,0.39515555,0.36325769,0.50389025,0.49527201,0.46353557
0.61656982,0.57723536,0.45613066,0.54635016,0.39333882,0.07095811,0.49954889,0.52307964,0.47525717,0.58750804,0.39136369,0.42538655,0.56778637,0.52624188,0.60743352,0.53807796,0.46928541,0.5607595,0.5641111,0.72953532,0.51189911,0.56175053,0.58121397,0.55495141,0.62742242,0.57806734,0.48311276,0.58317309,0.44967174,0.42328383,0.378327,0.52579025,0.52740948,0.45878448
0.57319691,0.53134503,0.43931373,0.50943222,0.35093016,0.06119268,0.47044446,0.49204179,0.45574622,0.53667892,0.37179606,0.40542433,0.53773156,0.50501832,0.57774345,0.50294991,0.43092211,0.51681293,0.52949282,0.6924973,0.45341467,0.49630017,0.55402372,0.51867538,0.59821896,0.55079243,0.45745269,0.54680075,0.42435636,0.4061871,0.35176407,0.50748258,0.49741161,0.465627
0.59127747,0.56642501,0.43890499,0.50881589,0.36014434,0.0630846,0.4905652,0.5200755,0.48217069,0.57223788,0.3890144,0.41826175,0.5357117,0.49590438,0.57839237,0.49669728,0.43103496,0.51001659,0.53448755,0.69467415,0.50584553,0.54983535,0.56983477,0.54175163,0.62328055,0.57252852,0.48277455,0.56929651,0.41514582,0.40431786,0.3614567,0.50945132,0.50154378,0.45660188
0.58587437,0.5358398,0.43217626,0.50319255,0.3534102,0.06614644,0.46528053,0.48745496,0.45665397,0.53883315,0.35999791,0.40576632,0.51073331,0.49246902,0.56952066,0.49449255,0.42905468,0.51171617,0.49745986,0.68478774,0.46949226,0.51386229,0.55973511,0.51910339,0.58958093,0.54466057,0.47112022,0.55643462,0.39981596,0.37135764,0.35088104,0.49683013,0.48337238,0.44800533
0.60569888,0.56398679,0.4382194,0.5048929,0.36405386,0.06301089,0.5019509,0.52559319,0.46858026,0.5654018,0.39323836,0.4297547,0.53078497,0.51296052,0.58851926,0.50746627,0.42458842,0.5202058,0.52689458,0.71961817,0.49248103,0.52012046,0.53896542,0.52802869,0.62843528,0.56893505,0.46704944,0.57754343,0.41159713,0.40701913,0.35537956,0.52713189,0.52814785,0.48691993
