"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys45","sys46","sys47","sys48"
0.1182,0.1124,0.12765,0.2453,0.4126,0.4686,0.27065,0.2536,0.2496,0.24535,0.19665,0.35105,0.35925,0.4293,0.3756,0.36135,0.37525,0.2831,0.41045,0.3075,0.3186,0.3354,0.42305,0.4527,0.367,0.21805,0.2123,0.2551,0.3114,0.26695,0.2325,0.2351,0.2227,0.36915,0.28945,0.33195,0.35095,0.2438,0.23695,0.25965,0.39765,0.47625,0.4326,0.2367,0.21605,0.2161
0.12305,0.1162,0.13335,0.2582,0.4125,0.47465,0.288,0.26345,0.26825,0.26795,0.21505,0.3481,0.35425,0.42905,0.3814,0.36745,0.3826,0.30255,0.41635,0.32005,0.32395,0.34845,0.43595,0.45995,0.3852,0.23115,0.22465,0.2707,0.3265,0.28255,0.25235,0.2555,0.23715,0.3743,0.30565,0.3456,0.36615,0.24715,0.2426,0.2665,0.41265,0.4821,0.4438,0.2506,0.22955,0.22695
0.11975,0.1152,0.12885,0.2598,0.4124,0.4736,0.2679,0.25385,0.26575,0.2595,0.20715,0.35455,0.3624,0.42735,0.37455,0.35795,0.37375,0.2933,0.4183,0.321,0.32665,0.33675,0.42625,0.4536,0.38305,0.2224,0.21695,0.2605,0.3191,0.27555,0.2477,0.24915,0.23435,0.3746,0.29345,0.3323,0.3523,0.24225,0.2321,0.2601,0.40525,0.47455,0.43735,0.24225,0.2179,0.22045
0.11835,0.1147,0.12765,0.2714,0.4229,0.4773,0.28375,0.26715,0.26795,0.2616,0.2085,0.3478,0.35645,0.43145,0.3662,0.35155,0.3632,0.30525,0.41315,0.3068,0.3114,0.3344,0.42105,0.449,0.37595,0.2305,0.22755,0.2697,0.3257,0.28365,0.25675,0.25535,0.23965,0.362,0.30565,0.33045,0.3502,0.2412,0.23425,0.26565,0.4041,0.47115,0.44265,0.24765,0.23,0.22935
0.12745,0.11845,0.13615,0.27225,0.4225,0.4834,0.2992,0.2764,0.268,0.25915,0.207,0.36445,0.3707,0.44165,0.3907,0.37455,0.38795,0.3054,0.4228,0.3295,0.33845,0.35265,0.43795,0.46645,0.39055,0.22895,0.22165,0.2654,0.33845,0.29265,0.24985,0.2505,0.2373,0.38525,0.3251,0.35065,0.36945,0.2524,0.2453,0.2697,0.4166,0.48545,0.45175,0.2453,0.22775,0.22505
0.1274,0.11905,0.13485,0.27315,0.42715,0.48265,0.2979,0.2738,0.27265,0.26975,0.2164,0.3646,0.3744,0.4406,0.3992,0.3805,0.4011,0.3116,0.43565,0.32365,0.33435,0.35105,0.4382,0.46725,0.3833,0.2326,0.22715,0.2726,0.3385,0.2876,0.2605,0.26155,0.2463,0.39075,0.3175,0.34705,0.3669,0.2526,0.25435,0.2732,0.413,0.4897,0.45085,0.252,0.23295,0.2284
0.1263,0.1203,0.1376,0.27225,0.4202,0.47385,0.29045,0.26595,0.2663,0.25545,0.20315,0.3511,0.3593,0.4282,0.39005,0.3669,0.3904,0.30095,0.41475,0.31145,0.31275,0.3343,0.4186,0.45,0.3724,0.22115,0.2227,0.2678,0.322,0.28685,0.2474,0.24805,0.2329,0.38475,0.31095,0.3329,0.34845,0.2484,0.2421,0.26725,0.40065,0.47225,0.4368,0.2468,0.22425,0.2214
0.13405,0.12615,0.1445,0.2718,0.42615,0.48465,0.29345,0.27205,0.28665,0.2717,0.215,0.3545,0.3628,0.4409,0.3871,0.3745,0.3901,0.3199,0.43585,0.32855,0.33335,0.35805,0.44285,0.47055,0.3977,0.2388,0.23525,0.2807,0.33245,0.29335,0.26555,0.26695,0.2513,0.38695,0.31255,0.35385,0.37305,0.25395,0.24985,0.27655,0.4158,0.49335,0.45805,0.2613,0.23965,0.23725
0.12255,0.11815,0.1307,0.273,0.42695,0.483,0.284,0.262,0.26245,0.2646,0.2115,0.3548,0.36285,0.4357,0.3829,0.3666,0.38285,0.3013,0.42435,0.3079,0.3159,0.3427,0.4265,0.45515,0.3828,0.22205,0.2187,0.2614,0.32525,0.2835,0.25295,0.253,0.23855,0.38,0.30845,0.34,0.3594,0.2492,0.24005,0.26755,0.4036,0.47625,0.44565,0.24385,0.2222,0.2228
0.1232,0.1158,0.1316,0.24075,0.3971,0.4561,0.2669,0.2444,0.2646,0.2527,0.20285,0.32465,0.3334,0.40485,0.3581,0.33745,0.35865,0.28615,0.38955,0.29895,0.3008,0.32155,0.4109,0.43515,0.35945,0.2136,0.20925,0.253,0.30945,0.26275,0.2489,0.25005,0.2327,0.3512,0.28495,0.3172,0.33755,0.2299,0.22705,0.2571,0.3948,0.4535,0.4227,0.23415,0.2157,0.21275
