"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys45","sys46","sys47","sys48"
0.0423345,0.03879588,0.0430367,0.04044952,0.06696641,0.0863,0.04499233,0.05870843,0.06978931,0.06496898,0.06617528,0.05301166,0.05252858,0.04523906,0.03141041,0.04711426,0.03292074,0.07395552,0.07599012,0.06440316,0.07167857,0.11157854,0.07927138,0.0768952,0.08371201,0.07062546,0.06940265,0.06948965,0.06066403,0.06154686,0.01741739,0.0365915,0.03115373,0.03018679,0.05181392,0.11137726,0.11308946,0.03033044,0.0276279,0.01206805,0.07880191,0.08358475,0.09855205,0.06986863,0.07370782,0.07399697
0.04508329,0.03875206,0.04607554,0.04605673,0.06603842,0.08577548,0.04844395,0.0483558,0.06820738,0.06013939,0.06037847,0.05167068,0.05142465,0.04440129,0.03166219,0.04893774,0.03334225,0.07260447,0.07120289,0.06734347,0.07423416,0.11383137,0.07413586,0.07515036,0.07577917,0.0679945,0.06454213,0.06715763,0.05508524,0.0529728,0.01941307,0.04542239,0.03579131,0.0285045,0.04563591,0.11268599,0.11529038,0.03627664,0.03335783,0.01326946,0.07599739,0.07824515,0.09080905,0.06652428,0.06807436,0.06443626
0.05577407,0.04612474,0.05653843,0.04194323,0.06727622,0.08862797,0.04818271,0.05379771,0.06514371,0.06288129,0.05905113,0.05324579,0.05258898,0.0465906,0.02921201,0.04491793,0.02938944,0.07643917,0.07734606,0.05822657,0.06503986,0.11560336,0.0816306,0.07709992,0.07690565,0.06657492,0.06426667,0.06626504,0.05898457,0.06463181,0.02021027,0.04251447,0.03066855,0.03673363,0.05339947,0.11468769,0.11709685,0.03120996,0.02960581,0.01174978,0.08561148,0.07789231,0.08934551,0.06512604,0.06697032,0.06509766
0.04177426,0.04017525,0.04269748,0.04026143,0.0642881,0.08753136,0.04059716,0.04413723,0.0594203,0.05618181,0.05702006,0.05123524,0.05084632,0.0447134,0.02798603,0.04469066,0.02718121,0.06748651,0.07338933,0.05939605,0.06765368,0.1083959,0.07853327,0.07459098,0.07383226,0.06548553,0.0623737,0.06497094,0.0507133,0.05436774,0.0176685,0.03646871,0.02979115,0.02498666,0.05524399,0.10693504,0.10970524,0.02927217,0.02669707,0.01142282,0.07481074,0.08038656,0.086578,0.06304349,0.06647255,0.06664234
0.0478511,0.03425612,0.04840346,0.04229888,0.06419626,0.08906146,0.04496743,0.0538666,0.06214261,0.05878319,0.06333183,0.04436834,0.044347,0.03796818,0.0252771,0.04165772,0.02532306,0.06712595,0.06548713,0.05755465,0.06313013,0.1060521,0.07875536,0.07292441,0.07110821,0.05742799,0.05678257,0.05632186,0.05927957,0.05925661,0.02030209,0.03850341,0.03547986,0.0285478,0.05364435,0.10696681,0.10758017,0.03071016,0.02808067,0.0121297,0.07644493,0.07658717,0.08423208,0.05636261,0.05769446,0.06168287
0.04629055,0.03848688,0.04812095,0.04345626,0.06216241,0.08676344,0.04861179,0.05366197,0.05963669,0.05606843,0.06478247,0.05107313,0.05097745,0.04309062,0.03011456,0.04683539,0.03060858,0.07195753,0.07804716,0.05761663,0.06130289,0.11251774,0.07792591,0.07477736,0.07695598,0.06998831,0.06679571,0.06891439,0.06453522,0.05550852,0.01866908,0.04332814,0.03035489,0.02949736,0.0547496,0.11339896,0.11426738,0.02990168,0.0283035,0.01310017,0.08487856,0.07981806,0.09120493,0.06955183,0.0716586,0.06802091
0.04233136,0.03535374,0.04366536,0.04267867,0.06909956,0.0875633,0.03417689,0.0509017,0.06464049,0.05929478,0.06208559,0.04894853,0.04883136,0.04597736,0.02935419,0.04476479,0.02952463,0.07049149,0.07594,0.06028209,0.06695026,0.11363164,0.07860988,0.0763258,0.07750939,0.06599543,0.06394105,0.06540283,0.06097613,0.05906982,0.02183715,0.0470149,0.03423799,0.02907667,0.06049514,0.11363754,0.11498162,0.03615267,0.03224658,0.01456963,0.08484499,0.07993305,0.08912793,0.06473482,0.06568903,0.0662568
0.04944844,0.03565734,0.0504955,0.03534186,0.06269483,0.08263093,0.04653319,0.05516009,0.06780198,0.05773006,0.05281642,0.0510601,0.05022412,0.04282696,0.02861912,0.04542323,0.02800902,0.07235525,0.07573277,0.0682649,0.07725402,0.11606406,0.0781401,0.07566762,0.08362727,0.07168098,0.07000562,0.07151166,0.0616061,0.06175068,0.01803877,0.03985718,0.02969717,0.02911862,0.05746133,0.11602628,0.11799827,0.02996505,0.02901534,0.01322375,0.07484907,0.07934986,0.09725126,0.07002713,0.07200781,0.07286598
0.04681008,0.0344654,0.04772609,0.04315386,0.06076548,0.08645022,0.04023312,0.05574192,0.06139061,0.0588418,0.05927313,0.04956507,0.04938992,0.04330509,0.03197836,0.04922295,0.03176535,0.07038284,0.07731397,0.05763271,0.06320998,0.1097303,0.07134231,0.07362819,0.07335584,0.05995765,0.05676698,0.05990703,0.06025936,0.05539396,0.01862896,0.0388481,0.03045304,0.02956457,0.05220517,0.11100705,0.11215579,0.03081016,0.028475,0.01390126,0.07632531,0.08013807,0.08823592,0.05813815,0.06183275,0.05539226
0.04909906,0.04057301,0.0494729,0.03978022,0.06053498,0.08805452,0.04294529,0.05354685,0.05936405,0.0592127,0.05479284,0.0513631,0.05121484,0.04578498,0.02753105,0.04627262,0.02692004,0.06991357,0.07679607,0.06228903,0.06952626,0.11052002,0.07700174,0.07744977,0.07585295,0.06185368,0.06062568,0.06207229,0.05664325,0.05753299,0.01891303,0.04106097,0.03393035,0.0281958,0.0469608,0.11056781,0.11180025,0.02923925,0.02681098,0.01143284,0.08562127,0.08106983,0.09312177,0.0621525,0.06418724,0.06449695
