"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34"
0.31619152,0.20026844,0.2009192,0.2244396,0.29678286,0.0076092,0.24353981,0.2321348,0.16211374,0.19665928,0.16592738,0.18200261,0.20940725,0.1833351,0.24844824,0.23576967,0.22783929,0.2669324,0.33693023,0.28398914,0.14957257,0.15285717,0.26280886,0.24060316,0.17577615,0.23658143,0.19590254,0.22707816,0.19833916,0.18480223,0.22305954,0.19679184,0.18670899,0.16976808
0.3060011,0.19555854,0.19924666,0.22478621,0.29252722,0.00753064,0.24012174,0.22839452,0.15406414,0.19165243,0.16540362,0.17498385,0.21003213,0.19469866,0.24597285,0.22923901,0.21818531,0.2542316,0.32382882,0.27236044,0.14533754,0.14916729,0.2643522,0.24018097,0.16779873,0.22621603,0.19312392,0.22220528,0.19457961,0.18159183,0.21925464,0.19289199,0.18176147,0.16420548
0.31745252,0.20192409,0.20243723,0.22567919,0.29492536,0.00771931,0.25341682,0.23810473,0.16156693,0.19815324,0.17205396,0.18280763,0.21175252,0.18729209,0.24311306,0.23359256,0.22073024,0.26467997,0.33072086,0.2768013,0.15394667,0.15776628,0.26671362,0.24950702,0.17351102,0.23495991,0.19861677,0.22817234,0.19599298,0.18533425,0.22015519,0.19851778,0.18779171,0.17071422
0.31361619,0.19563353,0.1967619,0.22456389,0.28942138,0.00743192,0.24611114,0.23357701,0.15909314,0.19224038,0.16646821,0.17844481,0.20491441,0.18075559,0.24037089,0.22819678,0.21666089,0.25606555,0.33219027,0.27220914,0.14583408,0.1502307,0.25838249,0.23995413,0.17075471,0.23158618,0.19412985,0.22586164,0.19379415,0.18413005,0.21768531,0.1966236,0.18549423,0.16641319
0.31213447,0.19158273,0.19581546,0.22302758,0.28327968,0.00798516,0.24356395,0.22839201,0.15309857,0.18809806,0.16127379,0.17217876,0.20630006,0.18535808,0.25358677,0.22674261,0.21400574,0.25839163,0.32777487,0.27653227,0.14412098,0.14738703,0.25756657,0.23793203,0.16711999,0.23747976,0.19676449,0.22856924,0.19022382,0.18192279,0.21267617,0.18832169,0.17814108,0.16537514
0.32499307,0.21070118,0.20935673,0.23570794,0.30769293,0.00731635,0.2541115,0.24046367,0.16942019,0.20639665,0.16865664,0.1857462,0.20878156,0.19918219,0.25365979,0.24176785,0.23511312,0.28140475,0.3584835,0.29206613,0.15337334,0.15677099,0.27125085,0.25008081,0.18521308,0.23959506,0.20042054,0.23091714,0.20335428,0.19141306,0.22546378,0.2033615,0.19458654,0.18474036
0.30478868,0.20364459,0.20166115,0.23038717,0.29813524,0.00733987,0.24160069,0.22982525,0.16071459,0.19908415,0.16598789,0.18028617,0.20882826,0.18645367,0.24280905,0.23743393,0.22456892,0.25971531,0.33882684,0.27648857,0.14798518,0.15395376,0.26735501,0.24589522,0.17828463,0.23814658,0.1980509,0.22890505,0.19779966,0.18929506,0.22078858,0.19464232,0.18204787,0.17356714
0.3199286,0.20346888,0.20275181,0.22811435,0.29666261,0.00761204,0.25103113,0.23489574,0.16239319,0.19954994,0.1710984,0.18352959,0.20429623,0.18917243,0.24786584,0.23145296,0.22332156,0.26247812,0.32910086,0.28149531,0.1514012,0.15624427,0.26659273,0.24750614,0.17911454,0.24139993,0.20353378,0.23209906,0.19694024,0.18802017,0.2177658,0.19902812,0.18744634,0.17108572
0.30510515,0.19401513,0.19181048,0.21685081,0.27886771,0.00772849,0.24404317,0.23003651,0.15344806,0.18958672,0.15797158,0.17392437,0.19484798,0.18508588,0.23917709,0.22494941,0.21569497,0.2550899,0.32022764,0.2713195,0.14453114,0.14728234,0.25218415,0.23077289,0.16717005,0.22259322,0.18862182,0.21675932,0.18731196,0.17561653,0.20696865,0.19055198,0.17610098,0.16927733
0.31906612,0.20229101,0.19696325,0.22035992,0.28213471,0.00769598,0.24849917,0.2353572,0.16079261,0.19874255,0.17181939,0.18637755,0.20507869,0.19220418,0.2508097,0.22862071,0.2161395,0.2578459,0.33394618,0.27420647,0.14751927,0.1526411,0.26027487,0.24225685,0.17834984,0.23585578,0.20356331,0.22892538,0.19254756,0.1880618,0.21479751,0.20320775,0.18955118,0.17175025
