"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34"
0.18572515,0.12324026,0.11245405,0.13037882,0.08889419,0.00823924,0.12547403,0.12712086,0.09753616,0.1237919,0.09312876,0.09666348,0.12998957,0.1064551,0.14473526,0.13955285,0.12259072,0.15902987,0.14638194,0.18084908,0.09966555,0.13221559,0.16154975,0.15051023,0.12141174,0.14590224,0.11998344,0.15374683,0.12715235,0.10949648,0.12398549,0.11769673,0.10685125,0.10633356
0.19276346,0.12636022,0.11777232,0.13883197,0.08880099,0.00895629,0.13430275,0.13798288,0.10409315,0.12678177,0.10374423,0.10583966,0.13765932,0.11808078,0.15706775,0.13732639,0.12067887,0.15842716,0.15174403,0.1805532,0.10064329,0.13438928,0.17235395,0.15741558,0.12398916,0.15623297,0.12883047,0.16328729,0.12198331,0.10972976,0.12120647,0.12305626,0.11385595,0.10878163
0.18748584,0.12151377,0.11137501,0.13012956,0.08349113,0.00840457,0.13365474,0.13834616,0.10002624,0.12224245,0.09621046,0.09635547,0.12940577,0.10627288,0.14751103,0.13642287,0.12020258,0.16024977,0.14205474,0.17364228,0.10168508,0.13565431,0.16570231,0.15402416,0.1212662,0.15195516,0.12130651,0.15847869,0.12546093,0.10763106,0.12096041,0.11906136,0.10728353,0.10474089
0.18424556,0.12004266,0.11259906,0.13342395,0.08536919,0.00819693,0.12842954,0.13230045,0.09967601,0.1207324,0.09479121,0.09817659,0.13005694,0.10402774,0.14568601,0.13770437,0.12009491,0.15758182,0.14627491,0.1718113,0.09623834,0.12990773,0.16136903,0.15218959,0.12052994,0.14831843,0.12292105,0.15620495,0.12106453,0.10559032,0.11665109,0.11527706,0.10556523,0.1066334
0.18737848,0.1229645,0.1092027,0.12741076,0.08107513,0.00868182,0.12688622,0.13002693,0.09520959,0.12376572,0.09339698,0.09438833,0.12520708,0.10733785,0.15018763,0.13117408,0.11588896,0.15318453,0.14254471,0.17826338,0.09927421,0.12873454,0.15675036,0.1491222,0.11740071,0.15022698,0.12325302,0.15364592,0.1128441,0.10246382,0.11070089,0.113381,0.10300617,0.10553305
0.19280408,0.13317892,0.11938827,0.13933934,0.08963243,0.0080207,0.12829002,0.1314076,0.10011864,0.13324236,0.09806733,0.10144698,0.13036958,0.11231765,0.14799242,0.14145789,0.12484873,0.16655438,0.1527271,0.17770174,0.10249782,0.13511346,0.16458381,0.15275808,0.12369392,0.15095209,0.12519825,0.15840732,0.12472867,0.1072253,0.12260608,0.12046141,0.11237451,0.10787103
0.1750333,0.12070061,0.10625306,0.12642171,0.08461651,0.00853742,0.12646926,0.12909067,0.09814271,0.12078768,0.09230539,0.09524705,0.1291113,0.10642441,0.14432078,0.13223123,0.11808299,0.15320792,0.14315824,0.16975843,0.09646844,0.12891486,0.15552948,0.14740297,0.11677784,0.13804263,0.11662937,0.14785612,0.11638185,0.10253343,0.1132252,0.11422968,0.10506391,0.10998087
0.18784781,0.13008511,0.10951858,0.12990865,0.08455022,0.00852999,0.13298575,0.1351882,0.10309234,0.13069628,0.09602024,0.09926309,0.12646968,0.10669033,0.15204398,0.13455495,0.11917581,0.15781669,0.14849961,0.18093368,0.10476143,0.13925655,0.16212515,0.15479389,0.12594959,0.14857866,0.1241237,0.15288491,0.12071349,0.10579924,0.11682759,0.12226361,0.111876,0.10931177
0.17860284,0.12171995,0.11273232,0.1336041,0.08386396,0.00856967,0.12374072,0.1277754,0.09479153,0.12176171,0.09544915,0.09412494,0.12172519,0.1082717,0.14203916,0.13024685,0.11593903,0.15250749,0.13944424,0.16761664,0.09668335,0.12797896,0.16515937,0.15089968,0.11997502,0.14283218,0.12071808,0.15585252,0.11997442,0.10265409,0.11758529,0.11435629,0.10359162,0.10127353
0.18651237,0.12937012,0.10729554,0.1239929,0.08242473,0.00878411,0.13021842,0.13453932,0.09749449,0.13014972,0.09784966,0.09903753,0.12834958,0.1064719,0.15378182,0.12910666,0.11221485,0.14967334,0.14479715,0.17701863,0.09930602,0.13187788,0.15996585,0.14711936,0.12277729,0.14789383,0.12332878,0.15890771,0.1139839,0.10359494,0.11163011,0.12050436,0.10729934,0.10589835
0.19143342,0.1231656,0.10927819,0.13039612,0.08468676,0.00877759,0.13564257,0.13823873,0.09978414,0.12347002,0.09613436,0.09821231,0.13096231,0.1117245,0.15901293,0.13134249,0.11688959,0.15347938,0.15259421,0.18095952,0.10135767,0.1338549,0.1651527,0.15578539,0.12388695,0.15143464,0.12631324,0.15995338,0.12049503,0.1033895,0.11673481,0.12211941,0.10860084,0.11356881
0.18265539,0.12102994,0.10747882,0.12627909,0.0838487,0.00804959,0.12557186,0.13047393,0.09503333,0.12143902,0.09182545,0.09384693,0.12748905,0.10657578,0.14409799,0.12920401,0.11509072,0.14810512,0.14263134,0.17251814,0.09804786,0.13100392,0.16408758,0.15266066,0.11954311,0.14156052,0.11722234,0.15324673,0.11685652,0.10070178,0.1128136,0.11077518,0.1005469,0.10645743
