"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30","sys31","sys32","sys33","sys34","sys35","sys36","sys37","sys38","sys39","sys40","sys41","sys42","sys43","sys44","sys45","sys46","sys47","sys48","sys49","sys50","sys51","sys52","sys53","sys54","sys55","sys56","sys57","sys58","sys59","sys60","sys61","sys62","sys63","sys64","sys65","sys66","sys67","sys68","sys69","sys70","sys71","sys72","sys73","sys74","sys75","sys76","sys77","sys78","sys79","sys80","sys81","sys82","sys83","sys84","sys85","sys86","sys87","sys88"
0.1667,0.25,0.04,0.0263,0.0068,0.0769,1,1,0.5,0.25,0.1111,1,0.0345,0.3333,0.0833,0.0417,0.1429,0.1,0.0109,0.0103,0.1429,0.1429,0.1111,0.3333,0.5,0.25,0.0667,0,1,1,0.5,0.0833,0.0909,0.0588,0.0294,0.2,0.0476,0.0476,0.0435,0.5,0.5,0.0179,0.5,0.125,0.3333,1,0.25,0.0145,0.5,0.5,0.0833,0.0769,0.1429,0.0244,0.0088,0.0256,0.0526,0.0263,0.0068,1,1,1,0.3333,0.5,0.25,0.0455,0.0455,0.125,1,1,0.3333,0.0833,0.0667,0.0833,0.0476,0,0.0263,0,0.1,0.1429,0.2,0.5,0.5,0.5,0.0145,0.5,0.0526,1
0.0125,0.0152,0.0066,0.0017,0.0085,0,0.5,0.25,0.2,0.0556,0.2,1,0.0038,0.0118,0.0042,0.0052,0.0075,0.025,0.0033,0.0016,0,0.0022,0.0022,0.2,0.2,0.2,0.0057,0,0.125,0.1111,0.125,0.0385,0.0385,0.0112,0.0714,0.0714,1,0.0333,0.0526,0.125,1,0,1,0.004,0.0385,0,0.125,0.0625,1,1,0.0161,0.0161,0.0286,0.007,0.011,0.007,0.006,0.0017,0.0085,1,1,1,0.2,0.2,0.2,0.002,0.002,0.0385,0.5,0.25,0.1667,0.0385,0.0769,0.0152,1,0.0233,0.0909,0,0.0063,0.0063,0.0063,0.0164,1,1,0.25,1,0.2,0.0417
1,1,1,1,1,1,1,1,0.3333,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,0,1,1,1,1,1,0.0047,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3333,0.5,1,1,1,1,1,1,1,1,0.5,0.5,1,1,1,1,1,1,0.5,1
0.0118,0.0167,0.25,0.1429,0.0066,0.0588,1,0.5,0.0222,0.0088,0.0104,0.0074,0.0833,0.0097,0.009,0.027,0.0147,0.0092,0.0345,0.0625,0.1,0.1,0.1,0.0357,0.0357,0.0357,0.0159,0,0.5,0.5,1,0.25,0.25,0.0169,0.25,0.0556,0.0102,0.0714,0.125,0,0.04,0,0.04,0.0035,0.0032,0,0.5,0.0057,0.02,0.02,0.1429,0.1429,0.025,0.1,0.0159,0.1,0.1667,0.1429,0.0066,0.25,0.3333,0.5,0.0357,0.0357,0.0357,0.0029,0.0029,0.0111,1,1,0.0588,0.25,0.3333,0.25,0.0102,0.3333,0.0208,0.3333,0.0278,0.027,0.0278,0.0137,0.04,0.04,0.0063,0.02,0.2,0.5
0.1429,0.3333,1,1,1,0.5,1,0.3333,1,0.3333,0.1667,0.3333,0.25,1,1,0.25,0.25,0.5,0.1,0.0714,0.2,0.2,0.2,0.5,0.5,0.5,0.1667,0.0022,0.3333,0.3333,0.5,0.1667,0.1667,0.125,1,0.5,1,1,1,1,0.125,0.3333,0.125,1,1,1,0.3333,1,1,1,0.5,0.5,0.5,0.1111,0.0909,0.1111,1,1,1,1,1,1,0.5,0.5,0.5,0.1111,0.1111,0.3333,1,1,0.3333,0.1667,0.1667,0.3333,1,1,1,1,0.5,0.5,0.5,0.0357,0.125,0.125,1,1,1,0.5
0.5,0.5,0.5,0.5,0.5,1,1,1,0.25,1,0.5,1,0.1429,1,0.5,0.1429,0.2,0.5,0.5,0.5,0.1429,0.1429,0.5,0.5,0.5,0.5,0.5,0,1,1,1,0.5,0.5,0.0037,0.5,1,1,1,0.5,1,1,1,1,1,1,1,1,1,0.5,0.5,1,1,1,0.5,0.125,0.5,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5,0.0769,0.0769,1,1,1,0.5,0.5,0.2,1,1,0.5,0.3333,0.2,0.3333,0.5,0.5,1,1,1,1,0.5,1,1
0.1429,1,0.25,1,0.01,0.0909,1,0.0164,1,1,0.5,1,1,1,0.5,1,1,0.5,0.1667,0.125,0.0769,0.0769,0.0769,1,1,1,0.3333,0,1,1,1,0.0714,0.0833,0.0909,0.125,0.2,1,0.0833,0.0714,0,0.2,0.0143,0.2,1,0.3333,0.0033,0.0133,0.0192,0.5,0.5,0.0667,0.0667,0.0909,0.0909,0.1429,0.0909,0.1667,1,0.01,0.0909,0.1,0.125,1,1,1,0.3333,0.3333,0.25,1,1,1,0.0714,0.5,0.1667,1,0.1429,0.25,0.25,0.1111,0.125,0.0278,0.1667,0.2,0.2,0.0909,0.5,0.5,1
1,1,0.5,0.3333,0.25,1,1,0.1667,0.0909,0.0097,0.0435,0.005,1,1,0.125,1,1,0.5,0.0115,0.0085,0.25,0.25,0.25,0.3333,0.3333,0.3333,0.0103,0,1,1,1,0.5,1,1,0.5,0.0286,1,0.1111,0.25,1,0.2,0.0042,0.2,1,1,0.0625,0.1,0.3333,0.1,0.1,0.5,0.5,0.1429,0.0169,0.0147,0.0169,0.5,0.3333,0.25,0.2,0.25,0.5,0.3333,0.3333,0.3333,0.0294,0.0294,1,1,1,1,0.5,1,0.2,1,0.0667,0.0909,0.1,0.0417,0.0417,0.0625,0.027,0.2,0.2,0.0238,0.1,0.0035,0.5
0.2,0.5,0.0476,0.037,1,0.0056,0.0208,0.5,1,0.3333,0.0294,1,0.0357,0.5,0.3333,0.0435,0.0526,0.2,0.0227,0.037,0,0.0013,0.0013,1,1,1,0.05,0,0.5,0.5,1,0.0588,0.0625,0.0082,0.0556,0.0476,0.1111,0.0714,0.0323,0.25,1,0.125,1,0.1667,0.5,0.5,0.0526,0.5,1,1,0.3333,0.3333,0.5,0.0147,0.0196,0.0147,0.05,0.037,1,1,1,1,1,1,1,0.0476,0.0476,0.3333,1,1,0.1667,0.0588,0.0769,0.0909,0.1111,0.0104,0.0323,0.0238,1,1,0.3333,1,1,1,0.0345,1,0.3333,1
1,1,0.3333,0.3333,0.3333,1,1,1,0.2,1,1,1,0.3333,1,1,0.3333,0.3333,1,1,1,0.3333,0.3333,0.3333,1,1,1,1,0,1,1,1,1,1,0.3333,1,1,1,1,1,1,1,0.1111,1,1,1,1,0.5,0.25,1,1,1,1,0.2,1,0.2,1,0.3333,0.3333,0.3333,0.5,1,0.5,1,1,1,0.5,0.5,1,1,1,1,1,0.1111,1,1,0.5,1,0.5,0.3333,0.3333,0.5,1,1,1,0.3333,1,1,1
