"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30"
0.02606,0.17437,0,0,0.0366,0.05477,0.05125,0.03517,0.12808,0.13624,0.21362,0.00625,0.12808,0.95046,0.95502,0.52374,0.49809,0.49517,0.12705,0.4375,0.0893,0.03703,0.1187,0.208,0.08661,0.08661,0.07477,0.07283,0.07283,0.45393
0.06133,0.00625,0.17937,0.29897,0,0.06816,0.04102,0.06332,0.04424,0.01562,0.04013,0.04338,0.09861,0.02929,0.0178,0.13346,0.17958,0.13808,0.03229,0.12508,0.06957,0.01238,0.00933,0.06558,0.00837,0.00837,0.05143,0.03171,0.03171,0.00735
0.07192,0.02083,0,0,0.01562,0.14272,0.16189,0.19463,0.22544,0.00893,0.04432,0.03961,0.36348,0.03125,0.04004,0.118,0.14678,0.18185,0.16969,0.24787,0.15248,0.08181,0.08713,0,0,0,0.07204,0.15965,0.15965,0.05732
0.22277,0.17817,0.14521,0.1345,0.17264,0.2145,0.22417,0.21471,0.42828,0.09201,0.20984,0.19636,0.53494,0.14267,0.09298,0.23759,0.21485,0.33625,0.33712,0.35997,0.56881,0.14591,0.14591,0.13119,0.35311,0.35311,0.32379,0.12957,0.12957,0.26842
0.3735,0.04934,0.14013,0.06648,0.12431,0.03505,0.01558,0.02736,0.01887,0.04262,0.0636,0.03317,0.00774,0.00781,0.02083,0.04587,0.04534,0.0752,0.0127,0.01562,0.01497,0.0752,0.08984,0.2769,0.18536,0.18536,0.05173,0.05749,0.05749,0.02897
0,0,0,0,0,0,0,0,0,0,0,0,0,0.01103,0.01705,0,0.00693,0,0.00699,0.08203,0.00329,0,0,0,0,0,0,0.00694,0.00694,0
0.27678,0.29456,0.01042,0,0.29903,0.02153,0.03041,0.03309,0.233,0.28319,0.17211,0.10047,0.07103,0.09932,0.07571,0.30091,0.24433,0.23922,0.18507,0.19753,0.18259,0.04322,0.03516,0.15414,0.07938,0.07938,0.30416,0.26552,0.26552,0.208
0.20085,0.08884,0.12906,0.14787,0.0743,0.08807,0.08153,0.13055,0.04821,0.15352,0.06567,0.07092,0.10108,0.0125,0.05747,0.1346,0.31868,0.21902,0.15014,0.08174,0.08647,0.11512,0.0765,0.21969,0.18908,0.18908,0.02917,0,0,0.02866
0.126,0.0553,0.01418,0.01867,0.13719,0.09811,0.09811,0.09811,0.22638,0.06227,0.05457,0.08878,0.1605,0.12317,0.0934,0.14169,0.15182,0.18014,0.05223,0.17622,0.21801,0.06206,0.08531,0.14986,0.25708,0.25708,0.07734,0.12656,0.12656,0.07394
0.17266,0.14591,0.07201,0.06977,0.13801,0.12562,0.12507,0.12495,0.17227,0.17483,0.17483,0.05339,0.1703,0.0434,0.03862,0.16016,0.17523,0.08408,0.17435,0.17393,0.17374,0.12482,0.12482,0.11865,0.16988,0.16988,0.11541,0.15296,0.15296,0.14695
0.16365,0.31588,0,0,0.19464,0.17374,0.15295,0.17613,0.17613,0.07653,0.17613,0.06372,0.17613,0.14647,0.15935,0.19729,0.22562,0.31408,0.17613,0.17613,0.09595,0.13615,0.13615,0.19657,0.1946,0.1946,0.19652,0.17015,0.17015,0.22348
0.26278,0.19066,0.08559,0.0794,0.33439,0.28614,0.28302,0.16669,0.60351,0.1811,0.3934,0.22087,0.35922,0.28198,0.17695,0.3855,0.24043,0.47856,0.16117,0.32977,0.2504,0.31776,0.31776,0.20331,0.27263,0.27263,0.45969,0.3117,0.3117,0.39068
0.18734,0.24677,0.06222,0.05447,0.30874,0.38281,0.38178,0.38288,0.37402,0.24662,0.38433,0.13346,0.37693,0.36663,0.31914,0.37186,0.35257,0.33817,0.38104,0.44243,0.37828,0.44224,0.44737,0.27954,0.35275,0.35275,0.39149,0.37246,0.37246,0.38468
0.32977,0.11832,0.0625,0.0625,0.14797,0.05135,0.0742,0.11551,0.19578,0.14962,0.11762,0.15153,0.17981,0.04097,0.03548,0.22495,0.32379,0.20113,0.21808,0.12793,0.1785,0.07422,0.07422,0.2624,0.21047,0.21047,0.12301,0.33043,0.33043,0.13124
0.52071,0.43223,0,0,0.46113,0.55698,0.54408,0.55961,0.46995,0.46452,0.62386,0.30966,0.63355,0.21804,0.2195,0.62152,0.61768,0.61673,0.34796,0.35066,0.60441,0.30324,0.30324,0.21039,0.38539,0.38539,0.28409,0.32316,0.32316,0.35459
0.1548,0.15024,0.1068,0.06109,0.15957,0.15001,0.15004,0.11642,0.33622,0.13796,0.17488,0.20756,0.34723,0.09916,0.10739,0.21327,0.16221,0.1873,0.25593,0.30291,0.26122,0.26094,0.30716,0.1623,0.17066,0.17066,0.18323,0.1626,0.1626,0.22798
0.06327,0,0,0.0124,0,0.09375,0.11152,0.1875,0,0,0,0.01772,0,0,0,0.09497,0.1048,0.07285,0.22771,0.05703,0.2321,0.07363,0.07828,0.00313,0.04386,0.04386,0.07146,0.0744,0.0744,0
0.05324,0.01186,0,0,0.02033,0.07312,0.0541,0.07604,0.10134,0.02032,0.09415,0.00622,0.11824,0.02183,0.01801,0.086,0.05487,0.09947,0.12559,0.13976,0.11138,0.03078,0.03195,0.01562,0.02247,0.02247,0.07083,0.14213,0.14213,0.1173
0,0.00481,0.03445,0.02256,0,0.17169,0.1701,0.17696,0,0.00329,0.00755,0,0.00417,0.05185,0.05321,0.02904,0.22578,0.22736,0.10807,0.1573,0.04706,0.03345,0.01103,0,0,0,0.01353,0.01081,0.01081,0.01016
0.25421,0.10856,0.09543,0.07261,0.1445,0.23225,0.18868,0.12382,0.3162,0.36786,0.38107,0.37465,0.35858,0.31514,0.33635,0.57469,0.40208,0.57469,0.38566,0.38566,0.38636,0.42352,0.42352,0.15731,0.34028,0.34028,0.19188,0.38566,0.38566,0.36883
0.07087,0.15646,0.07292,0.09249,0.01408,0.49792,0.48692,0.50282,0.34741,0.07559,0.1926,0.06348,0.24839,0.02856,0.01042,0.24396,0.31344,0.26932,0.287,0.30837,0.14419,0.02285,0.02285,0.23402,0.36009,0.36009,0.28925,0.13419,0.13419,0.31697
0.09431,0.24122,0.2333,0.37958,0.06936,0.21262,0.18634,0.2282,0.1456,0.21493,0.24262,0.13003,0.13737,0.05996,0.0487,0.13903,0.14164,0.15764,0.21736,0.2284,0.12304,0.25221,0.18442,0.19893,0.35411,0.35411,0.21124,0.23954,0.23954,0.29137
0.05706,0.14683,0,0,0.18676,0.30055,0.30055,0.30055,0.16721,0.09684,0.18314,0.14485,0.2597,0.32504,0.1861,0.1528,0.30873,0.27041,0.20919,0.3168,0.17508,0.17537,0.36812,0.10353,0.1329,0.1329,0.1273,0.07664,0.07664,0.06276
0.1212,0.15689,0.08426,0.08137,0.10346,0.38354,0.379,0.41051,0.17686,0.21724,0.31915,0.10139,0.30056,0.13866,0.10121,0.15559,0.13536,0.33962,0.31089,0.3233,0.15146,0.2409,0.21978,0.56614,0.19474,0.19474,0.16272,0.13377,0.13377,0.25703
0.16937,0.08285,0.1658,0.16199,0.09864,0.1599,0.16015,0.16449,0.11305,0.08218,0.16386,0.14415,0.08533,0.16092,0.14014,0.17261,0.17613,0.16281,0.17394,0.1546,0.08669,0.15363,0.16648,0.26728,0.25446,0.25446,0.15995,0.17087,0.17087,0.16854
0.10153,0.34651,0.05078,0.024,0.07773,0.95293,0.95358,0.95454,0.95843,0.35772,0.58101,0.95799,0.95843,0.94271,0.95119,0.70936,0.60046,0.66232,0.57864,0.37153,0.94633,0.34186,0.34186,0.43716,0.35893,0.35893,0.95828,0.37981,0.37981,0.57899
0.16922,0.26689,0,0.00693,0.20079,0.13411,0.12421,0.09339,0.03782,0.28509,0.1683,0.05974,0.13631,0.15439,0.16677,0.06628,0.16529,0.15179,0.12639,0.03294,0.09973,0.11183,0.0927,0.16715,0.13473,0.13473,0.06703,0.03673,0.03673,0.16264
0.04597,0.02095,0.11467,0.07227,0.08834,0.08203,0.07422,0.0459,0.02816,0.01655,0.00781,0.01393,0.02148,0,0,0.05807,0.03829,0.17411,0.26256,0.02772,0.00329,0.04723,0.12109,0.04847,0.06186,0.06186,0.07983,0.15696,0.15696,0.02324
