"sys1","sys2","sys3","sys4","sys5","sys6","sys7","sys8","sys9","sys10","sys11","sys12","sys13","sys14","sys15","sys16","sys17","sys18","sys19","sys20","sys21","sys22","sys23","sys24","sys25","sys26","sys27","sys28","sys29","sys30"
0.02574,0.14648,0,0,0.04733,0.05517,0.05411,0.03047,0.05281,0.10722,0.15588,0.00397,0.05281,0.29525,0.30783,0.24142,0.18738,0.23213,0.16049,0.09606,0.08495,0.04745,0.0901,0.2043,0.02429,0.02429,0.05786,0.12434,0.12434,0.1075
0.1202,0.00842,0.2404,0.44602,0,0.10536,0.03894,0.10811,0.07895,0.01254,0.08315,0.05946,0.09443,0.05338,0.03025,0.15327,0.2144,0.13601,0.0494,0.09771,0.07628,0.01669,0.01516,0.03586,0.01473,0.01473,0.11399,0.05455,0.05455,0.01411
0.11718,0.02367,0,0,0.02039,0.35508,0.38206,0.47519,0.41951,0.01578,0.21508,0.12525,0.51215,0.02987,0.06221,0.48806,0.59036,0.63582,0.38689,0.42675,0.36986,0.20491,0.20241,0,0,0,0.25791,0.49322,0.49322,0.25007
0.18286,0.16213,0.08172,0.08143,0.16635,0.21838,0.25947,0.21353,0.39566,0.12596,0.26482,0.16207,0.39618,0.10593,0.09971,0.31609,0.43509,0.48005,0.28429,0.24597,0.39293,0.11629,0.11629,0.15248,0.23383,0.23383,0.22581,0.14632,0.14632,0.22051
0.53518,0.14306,0.17627,0.10865,0.21052,0.0522,0.02461,0.04826,0.04899,0.12154,0.11267,0.08332,0.01952,0.01256,0.0199,0.068,0.07518,0.10211,0.02332,0.03227,0.03887,0.07686,0.08483,0.34959,0.23133,0.23133,0.07696,0.0911,0.0911,0.05545
0,0,0,0,0,0,0,0,0,0,0,0,0,0.15772,0.18345,0,0.10418,0,0.10436,0.32883,0.05072,0,0,0,0,0,0,0.06599,0.06599,0
0.31314,0.30324,0.01066,0,0.32424,0.04932,0.06662,0.06269,0.26235,0.33226,0.20063,0.0648,0.13914,0.13482,0.13022,0.21393,0.30795,0.21049,0.23257,0.32137,0.24648,0.04187,0.02636,0.28759,0.21941,0.21941,0.31661,0.30478,0.30478,0.25178
0.38374,0.14473,0.30988,0.2027,0.11737,0.1661,0.13084,0.19354,0.12367,0.24696,0.19508,0.19675,0.18662,0.0154,0.13595,0.24417,0.42105,0.28971,0.23634,0.21146,0.17771,0.14687,0.12683,0.27736,0.24796,0.24796,0.06966,0,0,0.04845
0.32679,0.20219,0.04763,0.05295,0.31857,0.2764,0.2764,0.2764,0.36838,0.20293,0.22339,0.22759,0.37682,0.22635,0.17294,0.4286,0.38434,0.47216,0.15808,0.43612,0.46131,0.15673,0.21375,0.30993,0.38077,0.38077,0.25682,0.34476,0.34476,0.30035
0.71982,0.59745,0.30066,0.3191,0.49755,0.49913,0.47577,0.52584,0.71943,0.75111,0.75111,0.31936,0.66895,0.24622,0.19365,0.5479,0.72931,0.32401,0.74887,0.7262,0.72507,0.37138,0.37138,0.40703,0.6463,0.6463,0.46,0.64916,0.64916,0.56192
0.14101,0.34064,0,0,0.25801,0.16681,0.12116,0.17916,0.17916,0.11127,0.17916,0.0952,0.17916,0.11326,0.11432,0.24113,0.2434,0.26872,0.17916,0.17916,0.13766,0.08649,0.08649,0.34343,0.30706,0.30706,0.22846,0.13856,0.13856,0.21128
0.3387,0.39668,0.12008,0.11716,0.37876,0.2539,0.22245,0.19033,0.52501,0.38505,0.52508,0.27644,0.4471,0.24819,0.13724,0.50848,0.36493,0.6343,0.29392,0.43269,0.30357,0.32186,0.32186,0.36296,0.49935,0.49935,0.45787,0.55536,0.55536,0.49327
0.25994,0.29685,0.05228,0.0375,0.32481,0.34905,0.35475,0.35783,0.34422,0.31099,0.39438,0.14457,0.35554,0.30267,0.27576,0.3624,0.39778,0.30711,0.40163,0.4319,0.41086,0.42513,0.43956,0.30024,0.45709,0.45709,0.35877,0.39744,0.39744,0.36482
0.32685,0.23062,0.03038,0.03038,0.26033,0.06657,0.10966,0.09439,0.27423,0.21575,0.16652,0.14834,0.26042,0.03706,0.02828,0.49226,0.37612,0.38688,0.38952,0.24119,0.23631,0.1334,0.1334,0.25106,0.43197,0.43197,0.19369,0.46473,0.46473,0.24708
0.44402,0.58185,0,0,0.67338,0.53657,0.36057,0.537,0.59187,0.67599,0.74687,0.45114,0.76809,0.31223,0.31196,0.66808,0.62297,0.66737,0.61768,0.67772,0.78546,0.38492,0.38492,0.55507,0.69534,0.69534,0.55734,0.39738,0.39738,0.57786
0.29796,0.24128,0.15205,0.12657,0.21995,0.32864,0.3369,0.31242,0.47608,0.25222,0.27717,0.35351,0.44036,0.14438,0.18323,0.41124,0.41264,0.38654,0.39286,0.46683,0.37573,0.34724,0.37497,0.25273,0.24799,0.24799,0.37548,0.31977,0.31977,0.37147
0.09883,0,0,0.0338,0,0.06847,0.12612,0.10852,0,0,0,0.03676,0,0,0,0.12647,0.10268,0.1138,0.20079,0.07387,0.18037,0.12177,0.14633,0.00824,0.05452,0.05452,0.08028,0.15472,0.15472,0
0.254,0.07968,0,0,0.15468,0.36199,0.22471,0.39824,0.36916,0.1286,0.35738,0.0652,0.38012,0.18668,0.14937,0.30982,0.28306,0.33827,0.40062,0.64658,0.39143,0.14853,0.1507,0.06117,0.15746,0.15746,0.29909,0.5025,0.5025,0.40585
0,0.01344,0.11771,0.06595,0,0.25662,0.2538,0.26335,0,0.01184,0.02493,0,0.01279,0.1261,0.12673,0.09908,0.24571,0.25796,0.15894,0.24432,0.17913,0.10417,0.0368,0,0,0,0.04015,0.03712,0.03712,0.02757
0.56935,0.32347,0.17062,0.16629,0.37146,0.26016,0.22532,0.20261,0.3827,0.51214,0.51218,0.60471,0.41478,0.24344,0.27577,0.80086,0.72826,0.80086,0.67334,0.67334,0.67519,0.42742,0.42742,0.35004,0.3759,0.3759,0.35274,0.67334,0.67334,0.41407
0.03496,0.13642,0.06582,0.09861,0.01575,0.30028,0.29658,0.32085,0.3116,0.09105,0.15215,0.0943,0.24988,0.03743,0.00934,0.20606,0.24755,0.24091,0.63206,0.19884,0.11797,0.03003,0.03003,0.17043,0.30662,0.30662,0.28173,0.20192,0.20192,0.32026
0.26139,0.41999,0.66596,0.78893,0.12637,0.45515,0.35405,0.47759,0.52962,0.25923,0.34415,0.45798,0.51561,0.12585,0.07961,0.19692,0.21749,0.24152,0.67926,0.58258,0.27982,0.43304,0.4279,0.64622,0.68372,0.68372,0.63313,0.79652,0.79652,0.504
0.14871,0.29445,0,0,0.36651,0.50107,0.50107,0.50107,0.20821,0.2728,0.37281,0.26562,0.27511,0.58616,0.48526,0.2553,0.3591,0.33988,0.37016,0.61528,0.32171,0.48946,0.69313,0.10486,0.19788,0.19788,0.13499,0.0944,0.0944,0.13544
0.15372,0.22677,0.10333,0.09651,0.15964,0.32275,0.28528,0.33678,0.41196,0.30173,0.35274,0.15189,0.4923,0.10781,0.07579,0.1631,0.10125,0.28614,0.33758,0.33003,0.26745,0.12165,0.14108,0.49722,0.30507,0.30507,0.33275,0.20757,0.20757,0.41612
0.73598,0.5737,0.6298,0.57751,0.58493,0.61748,0.61893,0.65143,0.59677,0.57211,0.67605,0.56089,0.55072,0.64173,0.58299,0.72027,0.77877,0.65037,0.74506,0.74001,0.52791,0.60179,0.63232,0.79974,0.7919,0.7919,0.59786,0.71349,0.71349,0.68626
0.04464,0.25874,0.01071,0.00723,0.03466,0.30589,0.29198,0.31941,0.51189,0.3438,0.44433,0.42032,0.51189,0.18008,0.28404,0.3422,0.27253,0.38358,0.37714,0.24794,0.2299,0.17911,0.17911,0.30079,0.17835,0.17835,0.39453,0.33338,0.33338,0.45465
0.66544,0.70773,0,0.05257,0.80936,0.47488,0.40349,0.36497,0.30948,0.97396,0.61946,0.30964,0.49201,0.58574,0.61252,0.44463,0.64954,0.59628,0.376,0.18492,0.35541,0.524,0.38319,0.63565,0.55882,0.55882,0.31254,0.21621,0.21621,0.57589
0.23046,0.05199,0.22345,0.09936,0.1767,0.10989,0.1016,0.07778,0.05974,0.0611,0.02311,0.07006,0.05273,0,0,0.23675,0.19013,0.3487,0.44368,0.0895,0.01695,0.10753,0.18316,0.15747,0.17369,0.17369,0.13647,0.39056,0.39056,0.06823
